Orthogroup	Stichodactyla_haddoni_longest_pep	Chironex_fleckeri_longest_pep
OG0001222	Shad_tr3133_c0_g1_i1.p2	Chfl_DN3101_c0_g1_i2.p1
OG0001225	Shad_tr48220_c1_g1_i1.p1	Chfl_DN777_c0_g3_i4.p1
OG0001229	Shad_tr7988_c0_g1_i12.p1	Chfl_DN20460_c0_g1_i1.p1
OG0001230	Shad_tr1065_c0_g1_i1.p1	Chfl_DN7859_c0_g3_i1.p1, Chfl_DN22846_c0_g2_i1.p1
OG0001231	Shad_tr7175_c0_g1_i3.p1	Chfl_DN10840_c0_g3_i1.p1, Chfl_DN16083_c0_g2_i1.p1, Chfl_DN10840_c0_g1_i1.p1
OG0001232	Shad_tr951_c0_g1_i51.p1	Chfl_DN19_c0_g1_i12.p1
OG0001235	Shad_tr9402_c0_g1_i12.p1, Shad_tr8758_c0_g1_i6.p1	Chfl_DN1783_c0_g2_i2.p1, Chfl_DN8984_c0_g1_i1.p1
OG0001237	Shad_tr3493_c1_g2_i2.p1, Shad_tr59819_c0_g1_i1.p1, Shad_tr10928_c0_g2_i6.p1	Chfl_DN9172_c0_g5_i1.p1, Chfl_DN22565_c0_g1_i1.p1, Chfl_DN9172_c0_g3_i1.p1, Chfl_DN9172_c0_g1_i1.p1, Chfl_DN20845_c0_g1_i1.p1, Chfl_DN7964_c0_g1_i1.p1, Chfl_DN8187_c0_g1_i1.p1, Chfl_DN6494_c0_g1_i1.p1, Chfl_DN8187_c0_g2_i1.p1
OG0001240	Shad_tr759_c2_g2_i3.p1	Chfl_DN28482_c0_g1_i1.p1
OG0001240	Shad_tr30205_c0_g1_i1.p1, Shad_tr13224_c0_g1_i3.p1	Chfl_DN12864_c0_g1_i1.p1
OG0001241	Shad_tr17413_c0_g1_i10.p1	Chfl_DN660_c0_g1_i8.p1
OG0001241	Shad_tr70069_c0_g1_i1.p1	Chfl_DN28672_c0_g1_i1.p1
OG0001242	Shad_tr591_c1_g2_i4.p1	Chfl_DN2345_c0_g1_i2.p1
OG0001242	Shad_tr3588_c0_g1_i1.p1	Chfl_DN7381_c0_g1_i2.p1
OG0001246	Shad_tr18173_c0_g1_i3.p1	Chfl_DN3824_c0_g1_i1.p1
OG0001246	Shad_tr9353_c2_g1_i2.p1	Chfl_DN3824_c0_g3_i1.p1
OG0001248	Shad_tr5900_c1_g1_i1.p1	Chfl_DN1253_c0_g1_i1.p1
OG0001250	Shad_tr40381_c0_g1_i7.p1, Shad_tr3085_c0_g1_i3.p1	Chfl_DN25203_c0_g1_i1.p1
OG0001251	Shad_tr4949_c3_g1_i4.p1	Chfl_DN3416_c0_g1_i2.p1
OG0001251	Shad_tr1134_c0_g1_i2.p1	Chfl_DN2675_c0_g1_i2.p1
OG0001255	Shad_tr10186_c0_g1_i33.p1	Chfl_DN9449_c0_g1_i1.p1
OG0001256	Shad_tr27826_c0_g1_i1.p1	Chfl_DN5285_c0_g1_i1.p1
OG0001256	Shad_tr31624_c0_g1_i4.p1	Chfl_DN10003_c0_g1_i1.p1
OG0001257	Shad_tr7537_c0_g1_i17.p1	Chfl_DN6922_c0_g1_i1.p1
OG0001257	Shad_tr46313_c1_g1_i9.p1	Chfl_DN926_c0_g1_i8.p1
OG0001258	Shad_tr36224_c2_g1_i2.p1, Shad_tr57823_c0_g1_i1.p1	Chfl_DN903_c0_g1_i1.p1, Chfl_DN5669_c0_g1_i2.p1, Chfl_DN1535_c1_g1_i3.p1
OG0001259	Shad_tr10878_c1_g1_i2.p2	Chfl_DN964_c0_g1_i7.p1
OG0001265	Shad_tr63157_c0_g1_i1.p1, Shad_tr26905_c0_g3_i2.p1	Chfl_DN7501_c0_g1_i1.p1
OG0001269	Shad_tr41666_c0_g1_i1.p1, Shad_tr14312_c0_g1_i10.p1, Shad_tr24798_c0_g1_i3.p1	Chfl_DN10897_c0_g2_i1.p1
OG0001272	Shad_tr15978_c0_g2_i1.p1	Chfl_DN24709_c0_g1_i1.p1
OG0001272	Shad_tr14331_c0_g1_i1.p1	Chfl_DN26443_c0_g1_i1.p1
OG0001274	Shad_tr81039_c0_g1_i1.p1, Shad_tr26010_c0_g2_i4.p1	Chfl_DN281_c0_g1_i2.p1
OG0001276	Shad_tr24465_c1_g1_i1.p1	Chfl_DN207_c0_g4_i3.p1
OG0001276	Shad_tr7921_c0_g1_i7.p1	Chfl_DN207_c0_g1_i1.p1
OG0001278	Shad_tr61557_c0_g1_i1.p1, Shad_tr32548_c0_g1_i1.p1	Chfl_DN28513_c0_g1_i1.p1
OG0001279	Shad_tr94906_c0_g1_i1.p1, Shad_tr10278_c3_g1_i1.p1	Chfl_DN2824_c0_g1_i1.p1
OG0001280	Shad_tr15457_c0_g1_i1.p1	Chfl_DN254_c0_g1_i1.p1
OG0001280	Shad_tr2403_c4_g1_i1.p1	Chfl_DN6996_c0_g2_i1.p1
OG0001281	Shad_tr18529_c1_g1_i3.p1	Chfl_DN14761_c0_g1_i1.p1
OG0001282	Shad_tr23151_c0_g1_i1.p1, Shad_tr30_c1_g1_i1.p1	Chfl_DN26253_c0_g1_i1.p1, Chfl_DN27659_c0_g1_i1.p1
OG0001283	Shad_tr18435_c6_g1_i1.p1, Shad_tr7975_c0_g2_i1.p1	Chfl_DN7980_c0_g1_i1.p1, Chfl_DN17472_c0_g1_i1.p1, Chfl_DN22666_c0_g1_i1.p1
OG0001284	Shad_tr26815_c3_g1_i1.p2, Shad_tr22377_c0_g1_i1.p1, Shad_tr34761_c0_g1_i1.p1	Chfl_DN21179_c0_g1_i1.p1
OG0001285	Shad_tr6417_c0_g1_i1.p1, Shad_tr20890_c0_g1_i6.p1	Chfl_DN553_c0_g1_i1.p1
OG0001286	Shad_tr8795_c0_g1_i1.p1, Shad_tr12305_c0_g1_i2.p1	Chfl_DN16780_c0_g1_i2.p1
OG0001290	Shad_tr88904_c0_g1_i1.p1, Shad_tr37132_c0_g1_i1.p1	Chfl_DN26038_c0_g1_i1.p1
OG0001292	Shad_tr2658_c0_g1_i1.p1, Shad_tr12266_c0_g1_i1.p1	Chfl_DN27813_c0_g1_i1.p1
OG0001295	Shad_tr194_c3_g1_i1.p1, Shad_tr61962_c0_g1_i1.p1	Chfl_DN28649_c0_g1_i1.p1
OG0001297	Shad_tr14876_c0_g1_i2.p1	Chfl_DN3132_c0_g1_i4.p1
OG0001298	Shad_tr4468_c0_g2_i3.p1, Shad_tr13494_c1_g2_i1.p1, Shad_tr13494_c0_g1_i12.p1, Shad_tr13494_c1_g1_i4.p1	Chfl_DN28022_c0_g1_i1.p1
OG0001300	Shad_tr1026_c1_g1_i1.p1, Shad_tr10872_c0_g2_i1.p1, Shad_tr10872_c0_g1_i1.p1, Shad_tr21526_c5_g1_i1.p1, Shad_tr86095_c0_g1_i1.p1	Chfl_DN2558_c0_g1_i1.p1
OG0001307	Shad_tr13320_c1_g2_i2.p1, Shad_tr110235_c0_g1_i1.p1	Chfl_DN2536_c0_g1_i1.p1, Chfl_DN2536_c0_g5_i1.p1
OG0001310	Shad_tr54722_c0_g1_i2.p1	Chfl_DN2763_c0_g1_i5.p1, Chfl_DN18485_c0_g1_i1.p1, Chfl_DN2763_c0_g2_i1.p1
OG0001316	Shad_tr1402_c2_g4_i2.p1	Chfl_DN26179_c0_g1_i1.p1, Chfl_DN1852_c0_g1_i1.p1
OG0001317	Shad_tr3982_c3_g1_i2.p1	Chfl_DN1991_c0_g1_i1.p1
OG0001320	Shad_tr90728_c0_g1_i1.p1, Shad_tr4159_c0_g1_i2.p1	Chfl_DN124_c0_g1_i5.p1, Chfl_DN1930_c0_g1_i4.p1
OG0001323	Shad_tr1477_c3_g1_i1.p1, Shad_tr428_c2_g1_i2.p1	Chfl_DN18403_c0_g2_i1.p1
OG0001324	Shad_tr3285_c3_g2_i2.p1	Chfl_DN3256_c0_g1_i1.p1
OG0001325	Shad_tr108780_c0_g1_i1.p1, Shad_tr443_c0_g3_i1.p1, Shad_tr5404_c0_g1_i3.p1	Chfl_DN6714_c0_g2_i3.p1
OG0001326	Shad_tr35170_c0_g1_i3.p1	Chfl_DN3625_c0_g1_i1.p1
OG0001327	Shad_tr2097_c0_g1_i66.p1	Chfl_DN26761_c0_g1_i1.p1, Chfl_DN13228_c0_g2_i1.p1, Chfl_DN1665_c0_g1_i1.p1
OG0001328	Shad_tr11111_c3_g1_i2.p1	Chfl_DN12424_c0_g1_i1.p1, Chfl_DN20481_c0_g1_i1.p1
OG0001332	Shad_tr72806_c0_g1_i1.p1	Chfl_DN2531_c0_g1_i1.p1
OG0001332	Shad_tr2027_c0_g2_i7.p1	Chfl_DN307_c0_g1_i1.p1
OG0001333	Shad_tr47983_c0_g1_i1.p1	Chfl_DN3588_c0_g2_i1.p1
OG0001335	Shad_tr60926_c0_g1_i2.p1, Shad_tr89_c0_g2_i1.p1, Shad_tr112058_c0_g1_i1.p1	Chfl_DN26445_c0_g1_i1.p1
OG0001336	Shad_tr95110_c0_g1_i1.p1	Chfl_DN7321_c0_g1_i1.p1, Chfl_DN241_c0_g1_i2.p1
OG0001338	Shad_tr903_c4_g1_i8.p1	Chfl_DN737_c0_g2_i2.p1
OG0001338	Shad_tr3066_c0_g1_i18.p1	Chfl_DN21020_c0_g1_i1.p1
OG0001340	Shad_tr11473_c0_g1_i11.p1, Shad_tr21987_c0_g1_i1.p1, Shad_tr6243_c4_g1_i9.p1	Chfl_DN16895_c0_g1_i1.p1
OG0001341	Shad_tr3320_c1_g1_i1.p1	Chfl_DN164_c0_g1_i2.p1, Chfl_DN25215_c0_g1_i1.p1
OG0001344	Shad_tr30361_c0_g1_i14.p1	Chfl_DN8244_c0_g1_i3.p1, Chfl_DN9695_c0_g1_i1.p1, Chfl_DN9695_c0_g2_i1.p1
OG0001344	Shad_tr1464_c0_g2_i15.p1	Chfl_DN2530_c0_g4_i1.p1
OG0001358	Shad_tr82314_c0_g1_i1.p1	Chfl_DN10067_c0_g3_i1.p1, Chfl_DN10067_c0_g1_i1.p1, Chfl_DN9934_c0_g1_i1.p1
OG0001359	Shad_tr24630_c0_g1_i5.p1, Shad_tr14857_c0_g2_i12.p1	Chfl_DN11701_c0_g3_i1.p1
OG0001364	Shad_tr4118_c0_g2_i2.p1, Shad_tr2493_c0_g1_i17.p1	Chfl_DN319_c0_g1_i10.p1
OG0001367	Shad_tr38327_c0_g1_i4.p1	Chfl_DN12073_c0_g1_i1.p1, Chfl_DN8943_c0_g1_i1.p1
OG0001369	Shad_tr4248_c0_g1_i16.p1	Chfl_DN808_c0_g1_i6.p1
OG0001371	Shad_tr29343_c1_g1_i1.p1	Chfl_DN28362_c0_g1_i1.p1
OG0001373	Shad_tr27244_c0_g1_i34.p1	Chfl_DN27222_c0_g1_i1.p1, Chfl_DN9028_c0_g1_i1.p1, Chfl_DN25814_c0_g1_i1.p1
OG0001378	Shad_tr4066_c1_g2_i9.p1, Shad_tr2497_c1_g1_i1.p1	Chfl_DN8332_c0_g1_i1.p1
OG0001379	Shad_tr443_c2_g1_i1.p1, Shad_tr55955_c0_g1_i1.p1, Shad_tr106222_c0_g1_i1.p1	Chfl_DN33_c0_g1_i14.p1
OG0001380	Shad_tr5122_c1_g1_i2.p1	Chfl_DN25158_c0_g1_i1.p1
OG0001380	Shad_tr44293_c0_g1_i4.p1	Chfl_DN3548_c0_g3_i1.p1
OG0001383	Shad_tr15252_c1_g1_i5.p1, Shad_tr5379_c0_g2_i1.p1	Chfl_DN21522_c0_g1_i1.p1
OG0001385	Shad_tr10096_c0_g1_i1.p1, Shad_tr3198_c4_g1_i4.p1	Chfl_DN2559_c0_g1_i1.p1
OG0001386	Shad_tr3501_c0_g1_i11.p1	Chfl_DN8420_c0_g1_i1.p1
OG0001390	Shad_tr22575_c0_g1_i1.p1	Chfl_DN4852_c0_g1_i1.p1
OG0001390	Shad_tr12602_c3_g1_i1.p1	Chfl_DN5281_c0_g1_i1.p1, Chfl_DN5281_c0_g2_i1.p1
OG0001393	Shad_tr5067_c0_g1_i13.p1	Chfl_DN3009_c0_g1_i1.p1
OG0001394	Shad_tr226_c9_g1_i9.p1, Shad_tr22930_c0_g1_i16.p1	Chfl_DN2777_c0_g1_i2.p1
OG0001396	Shad_tr8068_c2_g2_i1.p1, Shad_tr143_c1_g1_i9.p1	Chfl_DN28487_c0_g1_i1.p1
OG0001397	Shad_tr928_c0_g1_i3.p1	Chfl_DN37_c0_g2_i1.p1
OG0001397	Shad_tr27261_c1_g1_i1.p1	Chfl_DN37_c0_g1_i2.p1
OG0001399	Shad_tr5949_c1_g1_i1.p1	Chfl_DN24258_c0_g1_i1.p1
OG0001399	Shad_tr19009_c0_g1_i2.p1	Chfl_DN5494_c0_g1_i3.p1
OG0001400	Shad_tr6256_c1_g1_i7.p1, Shad_tr17212_c0_g1_i1.p1	Chfl_DN5784_c0_g1_i2.p1
OG0001401	Shad_tr81529_c0_g1_i1.p1	Chfl_DN6579_c0_g2_i2.p1
OG0001408	Shad_tr54907_c1_g1_i2.p1, Shad_tr8712_c0_g1_i2.p1	Chfl_DN9820_c0_g1_i1.p1
OG0001409	Shad_tr4600_c1_g1_i1.p1, Shad_tr30153_c0_g4_i2.p1, Shad_tr76599_c0_g1_i1.p1	Chfl_DN27468_c0_g1_i1.p1, Chfl_DN784_c0_g2_i1.p1
OG0001410	Shad_tr52004_c0_g1_i1.p1	Chfl_DN12809_c0_g1_i1.p1, Chfl_DN16435_c0_g1_i1.p1
OG0001412	Shad_tr5350_c1_g1_i2.p1, Shad_tr23365_c2_g1_i2.p1, Shad_tr23365_c2_g2_i1.p1, Shad_tr35056_c0_g1_i1.p1, Shad_tr41060_c1_g1_i1.p1	Chfl_DN5177_c0_g1_i1.p1
OG0001420	Shad_tr5448_c0_g1_i1.p1	Chfl_DN13036_c0_g1_i1.p1, Chfl_DN7122_c0_g4_i1.p1, Chfl_DN7122_c0_g3_i8.p1, Chfl_DN7088_c0_g1_i1.p1
OG0001423	Shad_tr53389_c0_g1_i1.p1	Chfl_DN27900_c0_g1_i1.p1
OG0001425	Shad_tr11283_c2_g1_i2.p1	Chfl_DN708_c0_g2_i1.p1, Chfl_DN27791_c0_g1_i1.p1
OG0001425	Shad_tr1631_c0_g1_i2.p1	Chfl_DN7161_c0_g2_i1.p1
OG0001427	Shad_tr78400_c0_g1_i1.p1, Shad_tr21205_c1_g1_i3.p1, Shad_tr103663_c0_g1_i1.p1	Chfl_DN26584_c0_g1_i1.p1
OG0001433	Shad_tr4055_c0_g1_i3.p1	Chfl_DN19060_c0_g1_i1.p1, Chfl_DN1004_c0_g1_i5.p1, Chfl_DN9274_c0_g1_i1.p1
OG0001435	Shad_tr34614_c1_g1_i1.p1	Chfl_DN4523_c1_g2_i1.p1
OG0001443	Shad_tr2050_c1_g1_i7.p1	Chfl_DN8172_c0_g1_i4.p1, Chfl_DN8172_c0_g2_i1.p1
OG0001446	Shad_tr442_c4_g1_i2.p1	Chfl_DN6052_c0_g2_i1.p1, Chfl_DN6052_c0_g1_i1.p1, Chfl_DN23285_c0_g1_i1.p1
OG0001447	Shad_tr309_c0_g3_i1.p1, Shad_tr7713_c0_g1_i10.p1	Chfl_DN28782_c0_g1_i1.p1
OG0001448	Shad_tr1002_c0_g1_i3.p1, Shad_tr9677_c0_g2_i3.p1	Chfl_DN4933_c0_g1_i1.p1
OG0001450	Shad_tr2531_c1_g1_i4.p1, Shad_tr44568_c0_g1_i6.p1	Chfl_DN9083_c0_g1_i1.p1
OG0001453	Shad_tr30341_c0_g1_i3.p1, Shad_tr3433_c2_g1_i3.p1	Chfl_DN1146_c0_g1_i2.p1
OG0001455	Shad_tr26786_c0_g1_i1.p1, Shad_tr275_c0_g2_i1.p1	Chfl_DN11053_c0_g1_i1.p1, Chfl_DN1248_c0_g2_i1.p1
OG0001456	Shad_tr26061_c1_g1_i4.p1	Chfl_DN17689_c0_g1_i1.p1, Chfl_DN5982_c0_g1_i1.p1, Chfl_DN5982_c0_g2_i1.p1, Chfl_DN5982_c0_g3_i1.p1, Chfl_DN5312_c0_g1_i1.p1
OG0001457	Shad_tr27061_c0_g1_i3.p1	Chfl_DN13197_c0_g1_i1.p1
OG0001458	Shad_tr76103_c0_g1_i1.p1, Shad_tr10380_c1_g2_i1.p1, Shad_tr10380_c1_g1_i4.p1	Chfl_DN20659_c0_g1_i3.p1
OG0001459	Shad_tr12099_c0_g1_i7.p1	Chfl_DN28821_c0_g1_i1.p1, Chfl_DN19443_c0_g1_i1.p1
OG0001460	Shad_tr19262_c0_g1_i3.p1	Chfl_DN13060_c0_g2_i1.p1, Chfl_DN8458_c0_g2_i1.p1, Chfl_DN8458_c0_g1_i2.p1, Chfl_DN13060_c0_g1_i1.p1
OG0001464	Shad_tr26222_c0_g1_i1.p1	Chfl_DN14964_c0_g2_i1.p1, Chfl_DN14964_c0_g1_i1.p1
OG0001467	Shad_tr14222_c1_g1_i6.p1	Chfl_DN26454_c0_g1_i1.p1
OG0001468	Shad_tr1821_c9_g1_i1.p1	Chfl_DN3808_c0_g5_i1.p1
OG0001468	Shad_tr21482_c1_g1_i5.p1	Chfl_DN5686_c0_g1_i3.p1
OG0001469	Shad_tr13781_c0_g2_i17.p1	Chfl_DN23194_c0_g2_i1.p1, Chfl_DN23194_c0_g1_i1.p1
OG0001469	Shad_tr13781_c0_g1_i1.p1	Chfl_DN23194_c0_g3_i1.p1
OG0001470	Shad_tr50652_c0_g1_i7.p1, Shad_tr20928_c0_g1_i3.p1	Chfl_DN777_c0_g1_i2.p1
OG0001474	Shad_tr13422_c1_g1_i2.p1, Shad_tr195_c0_g2_i1.p1	Chfl_DN15_c0_g1_i1.p1
OG0001476	Shad_tr13901_c1_g1_i3.p1	Chfl_DN8690_c0_g1_i2.p1, Chfl_DN12020_c0_g1_i1.p1
OG0001479	Shad_tr43767_c0_g2_i1.p1, Shad_tr50494_c0_g2_i1.p1	Chfl_DN12116_c0_g1_i1.p1
OG0001484	Shad_tr19699_c0_g1_i1.p1, Shad_tr12867_c0_g1_i2.p1	Chfl_DN1114_c0_g2_i2.p1, Chfl_DN169_c0_g1_i1.p1, Chfl_DN10951_c0_g1_i1.p1
OG0001489	Shad_tr3227_c0_g1_i26.p1	Chfl_DN13269_c0_g1_i2.p1
OG0001493	Shad_tr68470_c0_g1_i1.p1	Chfl_DN10781_c0_g2_i1.p1
OG0001494	Shad_tr9943_c1_g1_i4.p1	Chfl_DN5520_c0_g2_i1.p1, Chfl_DN5520_c0_g1_i1.p1, Chfl_DN14923_c0_g1_i1.p1, Chfl_DN425_c0_g1_i4.p1, Chfl_DN14923_c0_g2_i1.p1, Chfl_DN27241_c0_g1_i1.p1
OG0001499	Shad_tr20304_c0_g1_i1.p1, Shad_tr49493_c0_g1_i1.p1	Chfl_DN25930_c0_g1_i1.p1
OG0001503	Shad_tr25204_c0_g2_i1.p1, Shad_tr5_c2_g1_i1.p1, Shad_tr25204_c0_g1_i2.p1	Chfl_DN26905_c0_g1_i1.p1, Chfl_DN27511_c0_g1_i1.p1
OG0001506	Shad_tr12830_c0_g1_i1.p1	Chfl_DN11995_c0_g4_i1.p1, Chfl_DN11995_c0_g2_i1.p1, Chfl_DN11995_c0_g5_i1.p1
OG0001507	Shad_tr2943_c1_g2_i1.p1	Chfl_DN379_c0_g1_i3.p1
OG0001507	Shad_tr4517_c0_g1_i2.p1	Chfl_DN379_c0_g2_i5.p1
OG0001509	Shad_tr1593_c2_g1_i1.p1	Chfl_DN24040_c0_g1_i1.p1, Chfl_DN27299_c0_g1_i1.p1, Chfl_DN24669_c0_g1_i1.p1
OG0001510	Shad_tr8070_c0_g1_i2.p1	Chfl_DN19362_c0_g2_i1.p1
OG0001512	Shad_tr9094_c0_g1_i10.p1	Chfl_DN15781_c0_g1_i2.p1, Chfl_DN15781_c0_g2_i1.p1
OG0001517	Shad_tr4400_c5_g1_i1.p1	Chfl_DN5632_c0_g2_i2.p1, Chfl_DN5632_c0_g3_i1.p1, Chfl_DN14112_c0_g1_i1.p1
OG0001518	Shad_tr1896_c0_g1_i34.p1	Chfl_DN3385_c0_g4_i1.p1
OG0001519	Shad_tr1614_c1_g1_i1.p1	Chfl_DN17721_c0_g1_i1.p1
OG0001521	Shad_tr61201_c0_g1_i1.p1	Chfl_DN27234_c0_g1_i1.p1
OG0001523	Shad_tr3966_c0_g2_i4.p1, Shad_tr8525_c1_g2_i2.p1, Shad_tr32486_c0_g1_i6.p1	Chfl_DN132_c0_g1_i7.p1
OG0001524	Shad_tr19732_c0_g1_i7.p1	Chfl_DN14853_c0_g1_i1.p1, Chfl_DN12125_c0_g1_i1.p1, Chfl_DN8712_c0_g1_i1.p1
OG0001525	Shad_tr656_c12_g1_i1.p1	Chfl_DN21373_c0_g2_i1.p1, Chfl_DN21373_c0_g3_i1.p1
OG0001525	Shad_tr27791_c1_g1_i3.p1	Chfl_DN19848_c0_g1_i2.p1, Chfl_DN19848_c0_g2_i1.p1
OG0001526	Shad_tr8353_c2_g1_i2.p1	Chfl_DN6106_c0_g3_i1.p1, Chfl_DN6106_c0_g2_i1.p1
OG0001529	Shad_tr104489_c0_g1_i1.p1, Shad_tr108742_c0_g1_i1.p1	Chfl_DN15023_c0_g2_i1.p1
OG0001532	Shad_tr29346_c0_g2_i1.p1	Chfl_DN5755_c0_g1_i1.p1
OG0001533	Shad_tr21344_c0_g1_i1.p1, Shad_tr39463_c0_g1_i9.p1	Chfl_DN18723_c0_g1_i1.p1, Chfl_DN18061_c0_g1_i2.p1
OG0001535	Shad_tr24524_c0_g1_i9.p1	Chfl_DN2123_c0_g2_i2.p1, Chfl_DN16923_c0_g1_i2.p1
OG0001538	Shad_tr6210_c0_g1_i15.p1	Chfl_DN8418_c0_g1_i1.p1
OG0001539	Shad_tr7007_c0_g2_i3.p1, Shad_tr8992_c1_g1_i2.p1	Chfl_DN3172_c0_g1_i1.p1
OG0001544	Shad_tr59057_c1_g1_i5.p1, Shad_tr7200_c0_g1_i4.p1	Chfl_DN2617_c0_g1_i1.p1
OG0001545	Shad_tr728_c1_g1_i1.p1	Chfl_DN2388_c0_g1_i1.p1
OG0001548	Shad_tr8716_c0_g1_i14.p1	Chfl_DN4483_c0_g1_i1.p1
OG0001548	Shad_tr34025_c0_g1_i2.p1	Chfl_DN382_c0_g1_i6.p1
OG0001551	Shad_tr3770_c0_g1_i7.p1, Shad_tr9485_c0_g1_i42.p1	Chfl_DN527_c0_g1_i2.p1
OG0001553	Shad_tr14209_c2_g1_i7.p1	Chfl_DN4163_c0_g1_i1.p1
OG0001553	Shad_tr4391_c0_g3_i4.p1	Chfl_DN26773_c0_g1_i1.p1
OG0001557	Shad_tr3370_c1_g1_i2.p1	Chfl_DN23793_c0_g1_i1.p1
OG0001560	Shad_tr451_c4_g2_i1.p1	Chfl_DN644_c0_g1_i2.p1
OG0001560	Shad_tr4566_c0_g1_i1.p1	Chfl_DN12531_c0_g2_i1.p1
OG0001566	Shad_tr9231_c0_g1_i1.p1, Shad_tr14012_c2_g1_i3.p1	Chfl_DN7507_c0_g1_i1.p1
OG0001567	Shad_tr1933_c1_g1_i1.p1	Chfl_DN6449_c0_g1_i1.p1
OG0001568	Shad_tr106996_c0_g1_i1.p1	Chfl_DN7580_c0_g3_i1.p1
OG0001570	Shad_tr146_c2_g1_i1.p1, Shad_tr28218_c0_g1_i1.p1	Chfl_DN26448_c0_g1_i1.p1
OG0001571	Shad_tr8919_c0_g1_i1.p1, Shad_tr99522_c0_g1_i1.p1, Shad_tr27647_c0_g1_i1.p1	Chfl_DN2704_c0_g1_i1.p1
OG0001573	Shad_tr324_c14_g1_i1.p1, Shad_tr41757_c0_g1_i1.p1, Shad_tr22671_c0_g1_i1.p1	Chfl_DN1283_c0_g1_i1.p1
OG0001579	Shad_tr1532_c0_g1_i2.p1	Chfl_DN5259_c0_g1_i2.p1, Chfl_DN5259_c0_g2_i1.p1, Chfl_DN9085_c0_g1_i1.p1, Chfl_DN21812_c0_g1_i2.p1
OG0001581	Shad_tr4984_c0_g2_i1.p1	Chfl_DN1631_c0_g1_i1.p2, Chfl_DN1631_c0_g2_i1.p1, Chfl_DN26938_c0_g1_i1.p1
OG0001584	Shad_tr7274_c0_g1_i4.p1	Chfl_DN2441_c0_g2_i1.p1
OG0001585	Shad_tr1546_c0_g1_i18.p1	Chfl_DN4951_c0_g1_i1.p1
OG0001586	Shad_tr17157_c4_g1_i1.p1	Chfl_DN21776_c0_g1_i1.p1, Chfl_DN24578_c0_g1_i1.p1
OG0001588	Shad_tr759_c8_g1_i4.p1, Shad_tr10030_c0_g1_i1.p1, Shad_tr482_c4_g1_i2.p1	Chfl_DN7110_c0_g1_i1.p1
OG0001589	Shad_tr9435_c2_g3_i2.p1	Chfl_DN1491_c1_g1_i1.p1
OG0001590	Shad_tr58387_c0_g1_i1.p1	Chfl_DN6085_c0_g3_i1.p1
OG0001596	Shad_tr627_c1_g1_i1.p1	Chfl_DN23353_c0_g3_i1.p1, Chfl_DN23353_c0_g2_i1.p1
OG0001597	Shad_tr37107_c0_g1_i2.p1	Chfl_DN13611_c0_g1_i1.p1
OG0001600	Shad_tr35991_c1_g1_i1.p1, Shad_tr4315_c3_g1_i1.p1	Chfl_DN6567_c0_g1_i1.p1
OG0001601	Shad_tr497_c0_g1_i5.p1	Chfl_DN4410_c0_g1_i1.p1
OG0001603	Shad_tr90471_c0_g1_i1.p1, Shad_tr12629_c0_g1_i2.p1, Shad_tr3797_c3_g1_i1.p1	Chfl_DN21554_c0_g2_i1.p1
OG0001604	Shad_tr5227_c0_g1_i1.p1	Chfl_DN11307_c0_g3_i1.p1, Chfl_DN11307_c0_g5_i1.p1, Chfl_DN11307_c0_g1_i1.p1, Chfl_DN11307_c0_g4_i1.p1, Chfl_DN11307_c0_g2_i1.p1
OG0001609	Shad_tr6854_c0_g1_i3.p1, Shad_tr8828_c2_g1_i1.p1, Shad_tr8828_c0_g1_i2.p1	Chfl_DN15398_c0_g2_i1.p1
OG0001610	Shad_tr10535_c0_g1_i43.p1, Shad_tr16255_c0_g1_i3.p1	Chfl_DN7500_c0_g1_i1.p1
OG0001612	Shad_tr2547_c2_g1_i2.p1	Chfl_DN8755_c0_g3_i1.p1, Chfl_DN5399_c0_g1_i1.p1
OG0001614	Shad_tr88018_c0_g1_i1.p1	Chfl_DN3654_c0_g1_i1.p1
OG0001615	Shad_tr22229_c0_g1_i1.p1, Shad_tr27675_c1_g2_i1.p1	Chfl_DN18253_c0_g1_i1.p1
OG0001617	Shad_tr17305_c0_g1_i1.p1	Chfl_DN19678_c0_g2_i1.p1
OG0001617	Shad_tr19154_c0_g1_i3.p2	Chfl_DN19678_c0_g1_i1.p1
OG0001623	Shad_tr33141_c0_g1_i8.p1, Shad_tr33141_c0_g2_i1.p1	Chfl_DN5413_c0_g2_i4.p1
OG0001627	Shad_tr3839_c0_g1_i1.p1, Shad_tr28405_c0_g1_i1.p1	Chfl_DN26_c0_g1_i2.p1
OG0001629	Shad_tr15603_c3_g1_i7.p1	Chfl_DN204_c0_g1_i4.p1, Chfl_DN11412_c0_g1_i1.p1
OG0001634	Shad_tr44116_c0_g1_i1.p1, Shad_tr44116_c0_g2_i1.p1	Chfl_DN1772_c0_g1_i2.p1
OG0001636	Shad_tr22344_c0_g1_i6.p1, Shad_tr12944_c0_g1_i3.p1	Chfl_DN789_c0_g1_i2.p1
OG0001638	Shad_tr4606_c0_g1_i19.p1, Shad_tr6299_c2_g1_i9.p1	Chfl_DN6233_c0_g1_i1.p1
OG0001639	Shad_tr28517_c0_g1_i2.p1, Shad_tr17982_c0_g3_i4.p1	Chfl_DN463_c0_g1_i2.p1
