Orthogroup	Stichodactyla_haddoni_longest_pep	Cyanea_capillata_longest_pep
OG0002725	Shad_tr109896_c0_g1_i1.p1	Cyca_DN17785_c0_g1_i1.p1
OG0002729	Shad_tr3651_c0_g1_i23.p1	Cyca_DN33564_c0_g1_i1.p1, Cyca_DN21077_c0_g1_i1.p1
OG0002731	Shad_tr91363_c0_g1_i1.p1	Cyca_DN1621_c0_g1_i2.p1
OG0002734	Shad_tr10153_c1_g1_i1.p1	Cyca_DN11234_c0_g1_i2.p1
OG0002736	Shad_tr1744_c4_g1_i1.p1	Cyca_DN7552_c0_g1_i1.p1, Cyca_DN11177_c0_g1_i2.p1
OG0002737	Shad_tr38446_c0_g1_i2.p1	Cyca_DN12150_c0_g1_i1.p1
OG0002738	Shad_tr2348_c3_g2_i3.p1, Shad_tr33328_c0_g1_i4.p1	Cyca_DN9569_c0_g2_i2.p1, Cyca_DN9569_c0_g1_i1.p1
OG0002739	Shad_tr3194_c0_g1_i1.p1	Cyca_DN14224_c0_g1_i1.p1, Cyca_DN4606_c0_g1_i4.p1
OG0002741	Shad_tr9494_c0_g1_i1.p1	Cyca_DN9470_c2_g1_i1.p2
OG0002742	Shad_tr7672_c0_g1_i3.p1	Cyca_DN16619_c0_g1_i1.p1
OG0002743	Shad_tr30375_c1_g1_i2.p1	Cyca_DN4857_c0_g3_i1.p1
OG0002746	Shad_tr4172_c0_g1_i2.p1	Cyca_DN12776_c0_g2_i3.p1
OG0002747	Shad_tr11448_c0_g2_i10.p1, Shad_tr12367_c2_g1_i1.p1	Cyca_DN20794_c0_g1_i1.p1
OG0002748	Shad_tr8524_c0_g1_i2.p1	Cyca_DN30331_c0_g1_i1.p1
OG0002750	Shad_tr5980_c1_g1_i4.p1	Cyca_DN17975_c0_g1_i2.p1
OG0002753	Shad_tr2177_c0_g3_i4.p1	Cyca_DN2859_c0_g2_i1.p1
OG0002753	Shad_tr68082_c0_g1_i1.p1	Cyca_DN13523_c0_g1_i2.p1
OG0002758	Shad_tr2721_c0_g1_i5.p1	Cyca_DN24406_c0_g1_i1.p1
OG0002759	Shad_tr27516_c0_g1_i1.p1	Cyca_DN7962_c0_g1_i1.p1
OG0002763	Shad_tr14153_c0_g1_i1.p1	Cyca_DN732_c0_g3_i1.p1, Cyca_DN23929_c0_g1_i1.p1, Cyca_DN3225_c0_g1_i4.p1
OG0002764	Shad_tr125_c0_g1_i1.p1	Cyca_DN31341_c0_g1_i1.p1, Cyca_DN122_c0_g1_i1.p1
OG0002765	Shad_tr16114_c0_g1_i7.p1	Cyca_DN5258_c0_g1_i1.p1, Cyca_DN7127_c0_g4_i1.p1
OG0002766	Shad_tr2461_c0_g1_i6.p1	Cyca_DN14688_c0_g1_i2.p1
OG0002769	Shad_tr15183_c0_g1_i25.p1	Cyca_DN820_c0_g1_i3.p1
OG0002770	Shad_tr43567_c0_g1_i2.p1	Cyca_DN916_c0_g1_i4.p1
OG0002771	Shad_tr6357_c0_g1_i2.p1	Cyca_DN9212_c0_g1_i2.p1, Cyca_DN3684_c0_g1_i1.p1
OG0002773	Shad_tr33510_c0_g1_i5.p1	Cyca_DN21897_c0_g2_i1.p1
OG0002774	Shad_tr86690_c0_g1_i1.p1, Shad_tr2484_c1_g2_i1.p1	Cyca_DN7791_c0_g1_i5.p1
OG0002776	Shad_tr479_c3_g1_i1.p1	Cyca_DN1772_c0_g1_i1.p1, Cyca_DN124_c0_g2_i10.p1, Cyca_DN124_c0_g1_i1.p1
OG0002777	Shad_tr11128_c1_g1_i1.p1	Cyca_DN2656_c0_g2_i1.p1
OG0002778	Shad_tr8537_c0_g2_i1.p1	Cyca_DN2703_c1_g1_i1.p1, Cyca_DN31989_c0_g1_i1.p1
OG0002780	Shad_tr20904_c1_g2_i1.p1, Shad_tr20904_c4_g1_i1.p1	Cyca_DN3612_c0_g1_i1.p1
OG0002782	Shad_tr2498_c0_g3_i1.p1	Cyca_DN1264_c0_g1_i1.p1, Cyca_DN14080_c0_g1_i4.p1
OG0002787	Shad_tr10003_c1_g1_i1.p1	Cyca_DN16991_c0_g1_i1.p1, Cyca_DN16732_c0_g1_i1.p1
OG0002788	Shad_tr26260_c1_g1_i1.p1, Shad_tr5949_c2_g1_i1.p1, Shad_tr26260_c0_g1_i1.p1	Cyca_DN5757_c0_g1_i1.p1, Cyca_DN14592_c0_g1_i2.p1
OG0002792	Shad_tr18027_c0_g1_i2.p1, Shad_tr106994_c0_g1_i1.p1	Cyca_DN34345_c0_g1_i1.p2
OG0002796	Shad_tr18244_c1_g1_i1.p1, Shad_tr88767_c0_g1_i1.p1	Cyca_DN14790_c0_g2_i1.p1, Cyca_DN14790_c0_g1_i1.p1
OG0002798	Shad_tr5037_c1_g1_i1.p1	Cyca_DN11623_c0_g2_i1.p1
OG0002803	Shad_tr87446_c0_g1_i1.p1	Cyca_DN4352_c0_g1_i1.p2
OG0002807	Shad_tr17872_c0_g3_i1.p1	Cyca_DN24704_c0_g1_i1.p1, Cyca_DN3836_c0_g1_i3.p1
OG0002808	Shad_tr66761_c0_g1_i1.p1	Cyca_DN6318_c0_g1_i1.p1
OG0002809	Shad_tr31946_c0_g1_i1.p1, Shad_tr1344_c0_g1_i1.p1	Cyca_DN1861_c0_g1_i1.p1
OG0002810	Shad_tr607_c0_g1_i1.p1	Cyca_DN640_c0_g1_i1.p1
OG0002811	Shad_tr14371_c0_g2_i3.p1	Cyca_DN429_c0_g1_i3.p1
OG0002814	Shad_tr24215_c0_g1_i1.p1	Cyca_DN3981_c0_g1_i1.p1
OG0002815	Shad_tr96931_c0_g1_i1.p1, Shad_tr88727_c0_g1_i1.p1	Cyca_DN2297_c0_g1_i1.p1
OG0002818	Shad_tr10558_c0_g3_i3.p1	Cyca_DN3319_c0_g1_i2.p2
OG0002822	Shad_tr87935_c0_g1_i1.p1, Shad_tr17858_c0_g1_i1.p1	Cyca_DN33914_c0_g1_i1.p1
OG0002823	Shad_tr57306_c0_g1_i1.p2, Shad_tr57017_c1_g1_i1.p1	Cyca_DN19769_c0_g1_i1.p1
OG0002826	Shad_tr13534_c0_g1_i2.p1	Cyca_DN11969_c0_g1_i1.p1, Cyca_DN11967_c0_g1_i1.p1
OG0002828	Shad_tr58164_c0_g2_i1.p1, Shad_tr995_c2_g1_i1.p1, Shad_tr88965_c0_g1_i1.p1	Cyca_DN1715_c0_g1_i4.p1
OG0002829	Shad_tr62546_c0_g1_i1.p1, Shad_tr223_c2_g1_i1.p1	Cyca_DN4853_c0_g1_i1.p1
OG0002830	Shad_tr24083_c3_g1_i2.p1	Cyca_DN6962_c0_g1_i1.p1
OG0002831	Shad_tr13043_c0_g2_i1.p1	Cyca_DN30190_c0_g1_i1.p1, Cyca_DN30190_c0_g2_i1.p1, Cyca_DN7223_c0_g1_i1.p1, Cyca_DN1158_c0_g2_i2.p1, Cyca_DN1158_c0_g1_i4.p1
OG0002832	Shad_tr610_c0_g1_i2.p1	Cyca_DN8919_c0_g1_i1.p1
OG0002854	Shad_tr4057_c0_g1_i13.p1	Cyca_DN13800_c0_g1_i1.p1
OG0002855	Shad_tr1206_c0_g1_i5.p1	Cyca_DN31661_c0_g1_i1.p1
OG0002858	Shad_tr6539_c0_g1_i1.p1	Cyca_DN18631_c0_g1_i1.p1, Cyca_DN32025_c0_g1_i1.p1
OG0002859	Shad_tr287_c1_g1_i6.p1	Cyca_DN20597_c0_g2_i1.p1
OG0002860	Shad_tr3491_c0_g1_i7.p1	Cyca_DN14806_c0_g1_i1.p1, Cyca_DN23802_c0_g2_i1.p1, Cyca_DN23802_c0_g1_i1.p1
OG0002861	Shad_tr1036_c0_g1_i3.p1	Cyca_DN23533_c0_g1_i1.p1, Cyca_DN8430_c0_g1_i1.p1
OG0002863	Shad_tr4236_c0_g2_i4.p1	Cyca_DN7363_c0_g2_i1.p1
OG0002864	Shad_tr12111_c0_g1_i9.p1	Cyca_DN33230_c0_g1_i1.p1
OG0002874	Shad_tr1517_c0_g1_i249.p1	Cyca_DN21572_c0_g1_i1.p1, Cyca_DN14666_c0_g1_i4.p1
OG0002875	Shad_tr11761_c0_g1_i1.p1	Cyca_DN19497_c0_g1_i3.p1, Cyca_DN15303_c0_g1_i1.p1
OG0002876	Shad_tr13342_c0_g1_i1.p1	Cyca_DN5535_c0_g1_i1.p1
OG0002877	Shad_tr1503_c0_g1_i3.p1	Cyca_DN6039_c0_g1_i1.p1
OG0002880	Shad_tr6462_c0_g2_i1.p1, Shad_tr9429_c0_g1_i4.p1	Cyca_DN15633_c0_g2_i1.p1, Cyca_DN12562_c0_g1_i1.p1, Cyca_DN15633_c0_g1_i1.p1
OG0002881	Shad_tr29876_c0_g1_i2.p1	Cyca_DN34382_c0_g1_i1.p1
OG0002882	Shad_tr2916_c7_g1_i4.p1, Shad_tr35936_c4_g1_i1.p1	Cyca_DN25531_c0_g1_i2.p1
OG0002883	Shad_tr6104_c0_g1_i1.p1	Cyca_DN17723_c0_g1_i1.p1, Cyca_DN3984_c0_g1_i8.p1
OG0002884	Shad_tr7185_c2_g1_i3.p1	Cyca_DN10999_c0_g1_i1.p1, Cyca_DN21134_c0_g1_i1.p1, Cyca_DN22044_c1_g1_i4.p1
OG0002886	Shad_tr13495_c0_g1_i12.p1	Cyca_DN33078_c0_g1_i1.p1, Cyca_DN10716_c0_g1_i1.p1
OG0002887	Shad_tr34615_c0_g1_i1.p1, Shad_tr1981_c0_g2_i1.p1	Cyca_DN5266_c0_g1_i1.p1
OG0002888	Shad_tr5350_c0_g1_i1.p1	Cyca_DN15971_c0_g1_i2.p1, Cyca_DN11530_c0_g1_i1.p1
OG0002889	Shad_tr36726_c0_g4_i2.p1, Shad_tr11924_c0_g1_i7.p1	Cyca_DN29568_c0_g1_i1.p1, Cyca_DN13363_c0_g1_i1.p1
OG0002890	Shad_tr10413_c0_g1_i19.p1	Cyca_DN21798_c0_g2_i1.p1, Cyca_DN21798_c0_g1_i1.p1
OG0002891	Shad_tr4541_c0_g1_i9.p1	Cyca_DN13393_c0_g1_i1.p1
OG0002892	Shad_tr41838_c0_g1_i2.p1	Cyca_DN25880_c0_g1_i1.p1, Cyca_DN9767_c0_g1_i1.p1
OG0002893	Shad_tr14856_c2_g1_i1.p1	Cyca_DN19906_c0_g1_i1.p1
OG0002895	Shad_tr4113_c0_g1_i2.p1, Shad_tr309_c7_g1_i1.p1	Cyca_DN27665_c0_g1_i1.p1
OG0002897	Shad_tr5695_c1_g1_i1.p1	Cyca_DN16513_c0_g1_i1.p1, Cyca_DN16513_c0_g2_i1.p1
OG0002898	Shad_tr50587_c0_g1_i2.p1	Cyca_DN16591_c0_g1_i1.p1
OG0002901	Shad_tr5354_c0_g2_i1.p1	Cyca_DN14204_c0_g1_i2.p1
OG0002904	Shad_tr4152_c0_g1_i10.p1, Shad_tr28004_c0_g1_i2.p1	Cyca_DN15218_c0_g1_i1.p1
OG0002905	Shad_tr10609_c1_g1_i9.p1	Cyca_DN1701_c0_g1_i3.p2, Cyca_DN6369_c0_g2_i2.p1
OG0002909	Shad_tr3825_c1_g1_i23.p1	Cyca_DN20312_c0_g1_i1.p1, Cyca_DN19195_c0_g1_i1.p1
OG0002910	Shad_tr1221_c0_g2_i14.p1	Cyca_DN7142_c0_g1_i1.p1, Cyca_DN6723_c0_g1_i1.p1
OG0002911	Shad_tr1890_c3_g1_i8.p1	Cyca_DN22688_c0_g1_i1.p1
OG0002913	Shad_tr7426_c0_g1_i7.p1	Cyca_DN10533_c0_g1_i1.p1
OG0002915	Shad_tr11944_c0_g1_i2.p1	Cyca_DN2119_c0_g2_i1.p1, Cyca_DN2119_c0_g1_i2.p1
OG0002917	Shad_tr5006_c0_g2_i1.p1	Cyca_DN7920_c0_g1_i1.p1
OG0002919	Shad_tr28026_c0_g1_i11.p1	Cyca_DN12692_c0_g1_i1.p1, Cyca_DN21942_c0_g1_i1.p1
OG0002920	Shad_tr11758_c1_g2_i1.p1, Shad_tr31378_c0_g2_i1.p1	Cyca_DN8413_c0_g1_i1.p1, Cyca_DN3678_c1_g2_i1.p1
OG0002921	Shad_tr21730_c0_g1_i11.p1	Cyca_DN33653_c0_g1_i1.p1
OG0002922	Shad_tr16880_c0_g1_i6.p1	Cyca_DN16351_c0_g1_i1.p1, Cyca_DN32466_c0_g1_i1.p1
OG0002923	Shad_tr5019_c0_g1_i5.p1	Cyca_DN12793_c0_g3_i1.p1
OG0002924	Shad_tr50947_c1_g1_i1.p1	Cyca_DN6134_c0_g1_i1.p1, Cyca_DN20969_c0_g2_i1.p1
OG0002926	Shad_tr47447_c0_g1_i11.p1	Cyca_DN4951_c0_g1_i2.p1
OG0002928	Shad_tr34057_c1_g3_i4.p1	Cyca_DN8195_c0_g1_i3.p1, Cyca_DN8195_c0_g3_i1.p1
OG0002929	Shad_tr4471_c0_g2_i3.p1	Cyca_DN15406_c0_g1_i1.p1, Cyca_DN15406_c0_g2_i1.p1, Cyca_DN6636_c0_g1_i1.p1, Cyca_DN3971_c0_g1_i1.p1
OG0002930	Shad_tr2783_c0_g1_i6.p1	Cyca_DN5911_c0_g1_i2.p1
OG0002934	Shad_tr44440_c0_g1_i2.p1	Cyca_DN12338_c0_g1_i1.p1, Cyca_DN14642_c0_g1_i1.p1
OG0002935	Shad_tr5661_c0_g2_i3.p1, Shad_tr11443_c0_g1_i1.p1, Shad_tr2407_c0_g1_i5.p1	Cyca_DN1789_c0_g1_i1.p1
OG0002936	Shad_tr6098_c0_g1_i14.p1	Cyca_DN29359_c0_g1_i1.p1, Cyca_DN29359_c0_g2_i1.p1
OG0002937	Shad_tr11367_c0_g1_i1.p1	Cyca_DN21877_c0_g3_i1.p1, Cyca_DN21877_c0_g2_i1.p1, Cyca_DN21877_c0_g1_i1.p1
OG0002939	Shad_tr66373_c0_g1_i1.p1, Shad_tr2916_c0_g5_i1.p1	Cyca_DN29233_c0_g1_i1.p1
OG0002941	Shad_tr10331_c2_g1_i1.p1, Shad_tr69385_c0_g1_i1.p1	Cyca_DN33198_c0_g1_i1.p1, Cyca_DN33198_c0_g2_i1.p1
OG0002943	Shad_tr34185_c0_g1_i1.p1	Cyca_DN11579_c0_g2_i1.p1
OG0002944	Shad_tr1924_c0_g1_i5.p1	Cyca_DN8561_c0_g1_i1.p1
OG0002945	Shad_tr18979_c0_g1_i8.p1	Cyca_DN19265_c0_g1_i1.p1, Cyca_DN22931_c0_g1_i1.p1
OG0002946	Shad_tr589_c3_g1_i2.p1	Cyca_DN880_c1_g2_i1.p1, Cyca_DN880_c1_g1_i1.p1, Cyca_DN17122_c0_g1_i1.p1
OG0002947	Shad_tr35734_c0_g1_i2.p1	Cyca_DN4160_c0_g1_i1.p1
OG0002948	Shad_tr50349_c0_g3_i6.p1	Cyca_DN31407_c0_g1_i1.p1, Cyca_DN11747_c0_g1_i1.p1, Cyca_DN30629_c0_g1_i1.p1
OG0002949	Shad_tr40590_c0_g1_i1.p1	Cyca_DN15986_c0_g1_i1.p1, Cyca_DN6970_c0_g1_i1.p1, Cyca_DN6970_c0_g2_i1.p1
OG0002950	Shad_tr36598_c0_g1_i1.p1	Cyca_DN18078_c0_g1_i2.p1, Cyca_DN15520_c0_g1_i1.p1
OG0002951	Shad_tr35235_c0_g1_i4.p1	Cyca_DN5960_c0_g1_i1.p1
OG0002952	Shad_tr32910_c0_g2_i1.p1	Cyca_DN13274_c0_g1_i3.p1, Cyca_DN13274_c0_g2_i1.p1
OG0002954	Shad_tr9658_c0_g1_i3.p1	Cyca_DN136_c0_g1_i6.p1
OG0002955	Shad_tr10483_c2_g1_i7.p1	Cyca_DN17932_c0_g2_i1.p1, Cyca_DN17822_c0_g1_i2.p1
OG0002957	Shad_tr3388_c1_g1_i4.p1	Cyca_DN16840_c0_g1_i2.p1, Cyca_DN34074_c0_g1_i1.p1
OG0002959	Shad_tr10783_c0_g1_i18.p1	Cyca_DN15849_c0_g2_i1.p1
OG0002962	Shad_tr30627_c1_g3_i2.p1	Cyca_DN13236_c0_g1_i1.p1, Cyca_DN7664_c0_g2_i2.p1
OG0002964	Shad_tr1669_c1_g1_i1.p1, Shad_tr1669_c1_g2_i1.p1	Cyca_DN18676_c0_g1_i3.p1
OG0002965	Shad_tr32341_c2_g2_i5.p1	Cyca_DN28539_c0_g1_i1.p1
OG0002965	Shad_tr585_c28_g1_i1.p1	Cyca_DN11893_c1_g1_i1.p1
OG0002967	Shad_tr13103_c0_g2_i1.p1	Cyca_DN10531_c0_g1_i1.p1, Cyca_DN5316_c0_g3_i1.p1, Cyca_DN5316_c0_g2_i1.p1
OG0002969	Shad_tr24286_c0_g1_i2.p1	Cyca_DN11678_c0_g1_i1.p1
OG0002969	Shad_tr9065_c0_g1_i1.p1	Cyca_DN13093_c0_g1_i2.p1
OG0002971	Shad_tr3126_c0_g1_i5.p1	Cyca_DN23455_c0_g1_i1.p1, Cyca_DN28117_c0_g1_i1.p1, Cyca_DN12332_c0_g1_i1.p1
OG0002973	Shad_tr59184_c3_g1_i1.p1	Cyca_DN419_c0_g2_i1.p1
OG0002974	Shad_tr3845_c0_g2_i12.p1	Cyca_DN9865_c0_g2_i1.p1, Cyca_DN11865_c0_g2_i1.p1, Cyca_DN23181_c0_g1_i1.p1
OG0002975	Shad_tr10212_c0_g1_i3.p1	Cyca_DN5127_c0_g2_i2.p1, Cyca_DN27848_c0_g1_i1.p1
OG0002976	Shad_tr2904_c1_g1_i10.p1	Cyca_DN28362_c0_g1_i1.p1
OG0002978	Shad_tr22111_c0_g1_i1.p1	Cyca_DN9909_c0_g1_i1.p1
OG0002982	Shad_tr4211_c1_g1_i3.p1	Cyca_DN24046_c0_g1_i1.p1, Cyca_DN14655_c0_g1_i1.p1
OG0002983	Shad_tr14345_c0_g1_i3.p1	Cyca_DN6162_c0_g2_i1.p1
OG0002984	Shad_tr4800_c0_g1_i7.p1	Cyca_DN9234_c0_g1_i2.p1
OG0002985	Shad_tr925_c0_g1_i5.p1	Cyca_DN11968_c0_g1_i1.p1, Cyca_DN4899_c0_g2_i1.p1
OG0002986	Shad_tr26792_c0_g1_i2.p1	Cyca_DN22701_c0_g1_i1.p1
OG0002987	Shad_tr8371_c0_g1_i11.p1	Cyca_DN30007_c0_g1_i1.p1, Cyca_DN5401_c0_g1_i1.p1
OG0002989	Shad_tr9020_c0_g1_i1.p1	Cyca_DN11165_c0_g1_i1.p1
OG0002989	Shad_tr87021_c0_g1_i4.p1	Cyca_DN4791_c0_g1_i1.p1
OG0002990	Shad_tr33816_c1_g1_i1.p1	Cyca_DN10366_c0_g1_i1.p1, Cyca_DN4744_c0_g1_i1.p1
OG0002991	Shad_tr83013_c0_g1_i1.p1	Cyca_DN17846_c0_g1_i1.p1
OG0002992	Shad_tr43937_c0_g1_i20.p1	Cyca_DN23469_c0_g1_i1.p1
OG0002993	Shad_tr15718_c1_g1_i1.p1	Cyca_DN26563_c0_g1_i1.p1
OG0002994	Shad_tr33922_c0_g1_i1.p1, Shad_tr6914_c0_g1_i2.p2	Cyca_DN9943_c0_g1_i1.p1, Cyca_DN24053_c0_g1_i1.p1
OG0002996	Shad_tr1098_c8_g1_i4.p1, Shad_tr15264_c0_g1_i2.p1	Cyca_DN20019_c0_g1_i1.p1, Cyca_DN23333_c0_g1_i1.p1, Cyca_DN24778_c0_g2_i1.p1, Cyca_DN24778_c0_g1_i1.p1
OG0002998	Shad_tr658_c13_g1_i2.p1	Cyca_DN1978_c0_g1_i2.p1, Cyca_DN25152_c0_g1_i1.p2
OG0003000	Shad_tr14610_c0_g1_i12.p1, Shad_tr24532_c0_g1_i1.p1	Cyca_DN965_c0_g1_i2.p1
OG0003001	Shad_tr1233_c25_g1_i1.p1, Shad_tr8750_c0_g1_i5.p1	Cyca_DN1095_c0_g1_i4.p1
OG0003003	Shad_tr32045_c1_g1_i1.p1, Shad_tr15616_c1_g1_i4.p1	Cyca_DN10966_c0_g1_i1.p1
OG0003004	Shad_tr18705_c0_g2_i1.p1, Shad_tr82266_c0_g1_i1.p1, Shad_tr18705_c0_g1_i2.p1, Shad_tr1118_c0_g1_i2.p1	Cyca_DN870_c0_g1_i2.p1
OG0003005	Shad_tr7659_c1_g1_i2.p1	Cyca_DN14580_c0_g1_i4.p1, Cyca_DN900_c0_g1_i1.p1, Cyca_DN900_c1_g1_i1.p1
OG0003006	Shad_tr4984_c1_g1_i1.p1	Cyca_DN27260_c0_g2_i1.p1
OG0003008	Shad_tr18530_c0_g1_i1.p1	Cyca_DN33857_c0_g1_i1.p1
OG0003009	Shad_tr111789_c0_g1_i1.p2, Shad_tr54067_c0_g3_i1.p1	Cyca_DN27297_c0_g1_i1.p1, Cyca_DN9872_c0_g1_i1.p1, Cyca_DN25136_c0_g1_i2.p1
OG0003011	Shad_tr4523_c0_g1_i7.p1	Cyca_DN8260_c0_g3_i2.p1, Cyca_DN9259_c0_g1_i1.p1
OG0003012	Shad_tr21467_c0_g3_i1.p1	Cyca_DN27705_c0_g1_i1.p1, Cyca_DN5810_c0_g2_i1.p1
OG0003013	Shad_tr761_c18_g1_i1.p1	Cyca_DN1240_c0_g1_i1.p1
OG0003014	Shad_tr9383_c1_g1_i2.p1, Shad_tr1972_c0_g1_i6.p1	Cyca_DN6293_c0_g1_i1.p1
OG0003015	Shad_tr1905_c0_g1_i14.p1	Cyca_DN4031_c0_g1_i1.p1
OG0003018	Shad_tr158_c8_g1_i3.p1, Shad_tr738_c14_g1_i3.p1	Cyca_DN20671_c0_g2_i2.p1, Cyca_DN22524_c0_g1_i1.p1
OG0003019	Shad_tr15979_c0_g1_i6.p1	Cyca_DN31786_c0_g1_i1.p1
OG0003020	Shad_tr26738_c0_g1_i40.p1	Cyca_DN4109_c0_g2_i1.p1, Cyca_DN4109_c0_g1_i1.p1
OG0003021	Shad_tr89386_c0_g1_i1.p1	Cyca_DN16526_c0_g2_i1.p1
OG0003023	Shad_tr51852_c0_g3_i2.p1	Cyca_DN2766_c0_g1_i2.p1
OG0003024	Shad_tr6044_c0_g1_i1.p1, Shad_tr46855_c0_g1_i3.p1, Shad_tr18900_c0_g1_i4.p1	Cyca_DN12459_c0_g1_i1.p1
OG0003028	Shad_tr89840_c0_g1_i1.p1	Cyca_DN3515_c0_g2_i1.p1
OG0003029	Shad_tr7178_c0_g1_i17.p1	Cyca_DN4184_c0_g1_i1.p1
OG0003031	Shad_tr1233_c16_g1_i4.p1	Cyca_DN13821_c1_g2_i1.p1
OG0003032	Shad_tr1909_c0_g1_i2.p1	Cyca_DN14577_c0_g1_i1.p1
OG0003033	Shad_tr6722_c0_g2_i2.p1	Cyca_DN5062_c0_g1_i2.p1, Cyca_DN22139_c0_g1_i2.p1
OG0003035	Shad_tr19790_c0_g1_i7.p1	Cyca_DN30507_c0_g1_i1.p1
OG0003036	Shad_tr18262_c0_g1_i2.p1	Cyca_DN23349_c0_g1_i1.p1, Cyca_DN11130_c0_g1_i1.p1, Cyca_DN26914_c0_g1_i1.p1
OG0003038	Shad_tr8250_c3_g1_i3.p1	Cyca_DN4094_c0_g1_i4.p1
OG0003040	Shad_tr1182_c0_g1_i12.p1	Cyca_DN19728_c0_g1_i1.p1, Cyca_DN19728_c0_g3_i1.p1
OG0003041	Shad_tr52513_c3_g1_i1.p1, Shad_tr57982_c0_g1_i1.p1	Cyca_DN3615_c0_g1_i2.p1
OG0003042	Shad_tr36450_c0_g1_i9.p1	Cyca_DN6729_c0_g1_i1.p1
OG0003043	Shad_tr5353_c0_g1_i2.p1	Cyca_DN2142_c0_g1_i1.p1, Cyca_DN2142_c0_g2_i1.p1
OG0003044	Shad_tr14727_c2_g1_i11.p1	Cyca_DN23390_c0_g2_i2.p1
OG0003045	Shad_tr6360_c0_g1_i4.p1	Cyca_DN23261_c1_g2_i1.p1, Cyca_DN23261_c1_g1_i1.p1
OG0003050	Shad_tr4491_c0_g3_i1.p1, Shad_tr93465_c0_g1_i1.p1	Cyca_DN5430_c0_g3_i1.p1, Cyca_DN5430_c0_g1_i2.p1
OG0003052	Shad_tr3370_c0_g1_i3.p1	Cyca_DN9367_c0_g1_i3.p1
OG0003053	Shad_tr9768_c2_g1_i2.p1	Cyca_DN2996_c1_g1_i1.p1
OG0003054	Shad_tr18502_c0_g1_i1.p1	Cyca_DN22060_c0_g2_i1.p1, Cyca_DN14802_c0_g1_i1.p1
OG0003058	Shad_tr9689_c0_g1_i11.p1, Shad_tr11466_c0_g6_i2.p1, Shad_tr11466_c0_g1_i1.p1, Shad_tr11466_c0_g5_i1.p1	Cyca_DN4742_c0_g1_i2.p1
OG0003060	Shad_tr9983_c1_g2_i1.p1	Cyca_DN1667_c0_g1_i3.p1
OG0003065	Shad_tr10519_c1_g1_i1.p1	Cyca_DN20932_c0_g2_i1.p1
OG0003066	Shad_tr103086_c0_g1_i1.p1, Shad_tr81023_c0_g1_i1.p1	Cyca_DN3548_c0_g2_i1.p1
OG0003067	Shad_tr838_c0_g1_i1.p1	Cyca_DN1521_c0_g1_i1.p1
OG0003068	Shad_tr55_c0_g1_i1.p1	Cyca_DN352_c0_g1_i1.p1
OG0003069	Shad_tr4523_c0_g2_i4.p1	Cyca_DN59_c0_g1_i6.p1
OG0003072	Shad_tr21726_c0_g1_i1.p1	Cyca_DN6571_c0_g1_i1.p1
OG0003073	Shad_tr19698_c0_g2_i4.p1	Cyca_DN10759_c0_g2_i3.p1, Cyca_DN34324_c0_g1_i1.p1, Cyca_DN10759_c0_g1_i1.p2
OG0003076	Shad_tr10097_c0_g1_i4.p1	Cyca_DN1609_c0_g1_i1.p1, Cyca_DN16784_c0_g1_i1.p1
OG0003077	Shad_tr7896_c1_g1_i1.p1, Shad_tr87042_c0_g1_i1.p1	Cyca_DN361_c0_g1_i1.p1
OG0003078	Shad_tr25690_c0_g1_i3.p1	Cyca_DN18725_c0_g1_i2.p1, Cyca_DN9127_c0_g1_i1.p1
OG0003079	Shad_tr9205_c0_g1_i1.p1	Cyca_DN12652_c0_g1_i2.p1
OG0003080	Shad_tr8504_c0_g1_i1.p1, Shad_tr102910_c0_g1_i1.p1	Cyca_DN6151_c0_g3_i1.p1
OG0003083	Shad_tr25660_c1_g1_i1.p1	Cyca_DN2014_c0_g1_i1.p1
OG0003084	Shad_tr4452_c2_g1_i11.p1	Cyca_DN22099_c0_g1_i3.p1
OG0003090	Shad_tr88002_c0_g1_i1.p1, Shad_tr13931_c2_g2_i1.p1	Cyca_DN1301_c0_g1_i1.p1
OG0003091	Shad_tr13842_c2_g1_i2.p1	Cyca_DN11186_c0_g1_i1.p1, Cyca_DN412_c0_g1_i1.p1
OG0003092	Shad_tr62203_c0_g1_i1.p1	Cyca_DN171_c0_g1_i14.p1, Cyca_DN364_c0_g1_i6.p1
OG0003097	Shad_tr15239_c0_g2_i1.p1	Cyca_DN1755_c0_g2_i1.p1, Cyca_DN1755_c0_g3_i2.p1, Cyca_DN1755_c0_g1_i2.p1, Cyca_DN2733_c0_g1_i5.p1
OG0003099	Shad_tr13679_c0_g1_i1.p1	Cyca_DN797_c0_g1_i3.p1
OG0003101	Shad_tr359_c0_g2_i1.p1	Cyca_DN788_c0_g1_i5.p1, Cyca_DN17475_c0_g1_i1.p1
OG0003102	Shad_tr24551_c0_g1_i1.p1, Shad_tr5581_c1_g1_i5.p1	Cyca_DN1201_c0_g1_i3.p2
OG0003105	Shad_tr3154_c0_g1_i1.p1	Cyca_DN9020_c0_g1_i1.p1, Cyca_DN19717_c0_g1_i1.p1
OG0003109	Shad_tr883_c0_g1_i1.p1	Cyca_DN2103_c0_g2_i2.p1
OG0003117	Shad_tr90899_c1_g1_i1.p1	Cyca_DN7132_c0_g1_i1.p2
