Orthogroup	Stichodactyla_haddoni_longest_pep	Chrysaora_fuscescens_longest_pep
OG0000742	Shad_tr31765_c0_g3_i9.p1	Chfu_DN18870_c0_g1_i1.p1
OG0000743	Shad_tr52171_c0_g1_i1.p1, Shad_tr88120_c0_g1_i1.p1	Chfu_DN17666_c0_g1_i1.p1
OG0000743	Shad_tr1340_c1_g1_i1.p1	Chfu_DN2556_c0_g1_i1.p1
OG0000745	Shad_tr41269_c0_g1_i1.p1	Chfu_DN8482_c0_g1_i1.p1
OG0000746	Shad_tr39891_c1_g1_i5.p1, Shad_tr38727_c1_g1_i1.p1	Chfu_DN2875_c0_g1_i1.p1
OG0000749	Shad_tr8628_c0_g1_i1.p1, Shad_tr15313_c0_g1_i1.p1, Shad_tr6572_c1_g1_i1.p1, Shad_tr49983_c0_g1_i1.p1	Chfu_DN12589_c0_g1_i1.p1
OG0000751	Shad_tr39304_c1_g1_i22.p1, Shad_tr34130_c0_g1_i1.p1, Shad_tr106869_c0_g1_i1.p1, Shad_tr43295_c0_g1_i1.p1, Shad_tr49359_c0_g2_i1.p1, Shad_tr33102_c0_g1_i2.p1, Shad_tr115136_c0_g1_i1.p1	Chfu_DN8785_c0_g2_i1.p1
OG0000753	Shad_tr13410_c0_g1_i6.p1	Chfu_DN3791_c0_g1_i1.p2
OG0000759	Shad_tr1387_c3_g1_i1.p1	Chfu_DN365_c0_g1_i1.p1
OG0000766	Shad_tr49911_c0_g1_i8.p1	Chfu_DN15490_c0_g1_i1.p1
OG0000769	Shad_tr13428_c0_g2_i10.p1	Chfu_DN15279_c0_g2_i1.p1
OG0000769	Shad_tr10368_c0_g1_i3.p1	Chfu_DN3004_c0_g1_i11.p1
OG0000770	Shad_tr11548_c0_g1_i1.p1	Chfu_DN1275_c0_g1_i1.p1
OG0000772	Shad_tr96_c7_g1_i1.p1	Chfu_DN4142_c0_g3_i1.p1, Chfu_DN955_c0_g2_i1.p1
OG0000774	Shad_tr5294_c2_g1_i3.p1, Shad_tr5294_c2_g2_i2.p1, Shad_tr40064_c0_g1_i1.p1	Chfu_DN17400_c0_g1_i1.p1, Chfu_DN11038_c0_g1_i1.p1
OG0000780	Shad_tr108146_c0_g1_i1.p1, Shad_tr20188_c0_g1_i3.p1	Chfu_DN4349_c0_g1_i2.p1
OG0000781	Shad_tr494_c2_g1_i1.p1	Chfu_DN19550_c0_g1_i1.p1
OG0000781	Shad_tr38683_c0_g1_i1.p1, Shad_tr1463_c0_g1_i4.p1	Chfu_DN274_c0_g1_i1.p1
OG0000782	Shad_tr1382_c1_g1_i1.p1	Chfu_DN18811_c0_g1_i1.p1
OG0000783	Shad_tr19769_c0_g1_i1.p1, Shad_tr44706_c0_g3_i1.p1, Shad_tr9271_c0_g1_i1.p1	Chfu_DN19778_c0_g1_i1.p1, Chfu_DN523_c0_g1_i1.p1, Chfu_DN7871_c0_g1_i1.p1, Chfu_DN3000_c0_g1_i2.p1
OG0000791	Shad_tr7806_c1_g1_i2.p1	Chfu_DN1987_c0_g1_i4.p1
OG0000791	Shad_tr21036_c0_g1_i3.p1	Chfu_DN9593_c0_g1_i1.p1
OG0000792	Shad_tr70206_c0_g1_i1.p1, Shad_tr50873_c0_g1_i1.p1	Chfu_DN19526_c0_g1_i1.p1
OG0000792	Shad_tr84478_c0_g1_i1.p1	Chfu_DN6824_c0_g2_i1.p1
OG0000793	Shad_tr35492_c0_g1_i10.p1	Chfu_DN1940_c0_g1_i4.p1
OG0000794	Shad_tr8843_c2_g1_i22.p1	Chfu_DN8117_c0_g1_i1.p1
OG0000796	Shad_tr9943_c0_g1_i1.p1	Chfu_DN3934_c0_g1_i1.p1
OG0000796	Shad_tr2050_c7_g1_i4.p1	Chfu_DN18406_c0_g1_i1.p1
OG0000799	Shad_tr12721_c0_g1_i1.p1	Chfu_DN9479_c0_g1_i1.p1
OG0000799	Shad_tr93795_c0_g1_i1.p1	Chfu_DN11561_c0_g1_i1.p1
OG0000803	Shad_tr26443_c1_g1_i3.p1, Shad_tr5181_c0_g2_i1.p1	Chfu_DN1640_c0_g2_i2.p1
OG0000804	Shad_tr1229_c2_g1_i1.p1	Chfu_DN4694_c0_g3_i1.p1, Chfu_DN4694_c0_g2_i1.p1, Chfu_DN7538_c0_g1_i2.p1, Chfu_DN18773_c0_g1_i1.p1, Chfu_DN1072_c0_g1_i2.p1, Chfu_DN7538_c0_g2_i1.p1, Chfu_DN7354_c0_g1_i1.p1
OG0000805	Shad_tr4444_c0_g4_i3.p1, Shad_tr4444_c0_g5_i2.p1	Chfu_DN901_c0_g1_i2.p1
OG0000805	Shad_tr4444_c0_g3_i1.p1	Chfu_DN1106_c0_g1_i2.p1
OG0000811	Shad_tr26480_c0_g1_i2.p1, Shad_tr2856_c1_g1_i1.p1, Shad_tr88227_c0_g1_i1.p1	Chfu_DN506_c0_g1_i6.p1
OG0000812	Shad_tr32752_c0_g4_i4.p1, Shad_tr32752_c0_g2_i1.p1, Shad_tr40300_c5_g1_i1.p1, Shad_tr13404_c0_g2_i1.p1	Chfu_DN6442_c0_g1_i3.p1
OG0000813	Shad_tr19416_c0_g2_i1.p1	Chfu_DN6778_c0_g1_i2.p1
OG0000814	Shad_tr3217_c1_g1_i3.p1	Chfu_DN16981_c0_g1_i1.p1, Chfu_DN4765_c0_g1_i2.p1, Chfu_DN1753_c0_g2_i1.p1, Chfu_DN1753_c0_g1_i1.p1
OG0000815	Shad_tr36754_c2_g1_i1.p1, Shad_tr50554_c0_g2_i2.p1, Shad_tr20052_c1_g1_i7.p1, Shad_tr114122_c0_g1_i1.p1, Shad_tr50554_c0_g1_i1.p1, Shad_tr109727_c0_g1_i1.p1	Chfu_DN7435_c0_g1_i1.p1
OG0000817	Shad_tr200_c0_g1_i2.p1	Chfu_DN1696_c0_g1_i1.p1
OG0000817	Shad_tr48074_c0_g1_i1.p1, Shad_tr15814_c1_g1_i1.p1	Chfu_DN6696_c0_g1_i1.p1
OG0000819	Shad_tr2770_c0_g1_i3.p1, Shad_tr3977_c0_g1_i1.p1, Shad_tr96_c0_g2_i1.p1	Chfu_DN3486_c0_g3_i1.p1
OG0000820	Shad_tr3273_c0_g3_i2.p1	Chfu_DN4527_c0_g1_i1.p1, Chfu_DN18478_c0_g1_i1.p1
OG0000820	Shad_tr7137_c1_g1_i3.p1	Chfu_DN10554_c0_g1_i2.p1
OG0000821	Shad_tr22794_c0_g1_i10.p1, Shad_tr1836_c0_g1_i33.p1	Chfu_DN2388_c1_g1_i2.p1, Chfu_DN15499_c0_g1_i1.p1, Chfu_DN9099_c0_g1_i2.p1, Chfu_DN14727_c0_g1_i1.p1
OG0000822	Shad_tr33467_c1_g1_i62.p1	Chfu_DN6196_c0_g1_i1.p1
OG0000822	Shad_tr901_c1_g1_i9.p1	Chfu_DN8411_c0_g2_i2.p1
OG0000824	Shad_tr388_c5_g1_i13.p1	Chfu_DN2404_c1_g1_i1.p1
OG0000824	Shad_tr4619_c2_g1_i2.p1	Chfu_DN10085_c0_g1_i1.p1
OG0000826	Shad_tr1511_c0_g2_i1.p1, Shad_tr23596_c0_g1_i3.p1	Chfu_DN534_c0_g1_i1.p1, Chfu_DN417_c0_g1_i2.p1
OG0000827	Shad_tr9548_c0_g1_i15.p1	Chfu_DN1264_c0_g1_i10.p1
OG0000827	Shad_tr19858_c0_g2_i1.p1	Chfu_DN9790_c0_g2_i1.p1
OG0000831	Shad_tr63556_c0_g1_i1.p1, Shad_tr5660_c0_g1_i10.p1, Shad_tr98628_c0_g1_i1.p1	Chfu_DN3200_c0_g1_i1.p1, Chfu_DN170_c0_g1_i1.p1
OG0000832	Shad_tr10830_c0_g1_i16.p1, Shad_tr2906_c7_g1_i3.p1	Chfu_DN11727_c0_g1_i1.p1, Chfu_DN11727_c0_g2_i1.p1
OG0000833	Shad_tr3833_c0_g2_i3.p1	Chfu_DN12072_c0_g2_i1.p1
OG0000833	Shad_tr42575_c0_g1_i1.p1	Chfu_DN12072_c0_g1_i1.p1
OG0000834	Shad_tr3146_c0_g2_i2.p2, Shad_tr3146_c0_g1_i12.p1, Shad_tr14758_c1_g1_i1.p1, Shad_tr11418_c2_g1_i1.p1	Chfu_DN52_c0_g2_i3.p1
OG0000836	Shad_tr778_c4_g1_i2.p1, Shad_tr40262_c0_g1_i2.p1, Shad_tr15800_c0_g2_i1.p1, Shad_tr15800_c1_g1_i1.p1, Shad_tr15800_c0_g1_i8.p1	Chfu_DN8777_c0_g1_i2.p1
OG0000837	Shad_tr96953_c0_g1_i1.p1, Shad_tr52169_c0_g1_i1.p1, Shad_tr25713_c3_g2_i1.p1, Shad_tr58851_c0_g1_i1.p1	Chfu_DN93_c0_g1_i1.p1, Chfu_DN1561_c0_g1_i1.p1
OG0000840	Shad_tr44788_c0_g1_i1.p1, Shad_tr31254_c0_g3_i1.p1	Chfu_DN2914_c0_g1_i1.p1
OG0000840	Shad_tr45988_c0_g1_i8.p1	Chfu_DN11322_c0_g1_i1.p1
OG0000842	Shad_tr6057_c0_g1_i1.p1	Chfu_DN7589_c0_g2_i1.p1
OG0000842	Shad_tr13953_c0_g1_i3.p1, Shad_tr4257_c0_g1_i16.p1	Chfu_DN480_c0_g1_i6.p1
OG0000844	Shad_tr65931_c0_g1_i1.p1	Chfu_DN8330_c0_g1_i1.p1
OG0000844	Shad_tr45213_c0_g1_i1.p1	Chfu_DN11498_c0_g1_i1.p1
OG0000845	Shad_tr29848_c0_g2_i1.p1, Shad_tr103627_c0_g1_i1.p1, Shad_tr30697_c1_g2_i1.p2	Chfu_DN19027_c0_g1_i1.p1
OG0000846	Shad_tr5108_c0_g3_i1.p1, Shad_tr4885_c0_g1_i1.p1	Chfu_DN1792_c0_g1_i1.p1, Chfu_DN2283_c0_g1_i1.p1
OG0000847	Shad_tr114201_c0_g1_i1.p1	Chfu_DN19090_c0_g1_i1.p1, Chfu_DN294_c0_g1_i2.p1, Chfu_DN716_c0_g1_i1.p1
OG0000849	Shad_tr5882_c0_g1_i4.p1	Chfu_DN3079_c0_g1_i1.p1
OG0000849	Shad_tr387_c1_g1_i1.p1	Chfu_DN11369_c0_g1_i1.p1, Chfu_DN2596_c0_g2_i1.p1
OG0000851	Shad_tr6576_c0_g1_i17.p1, Shad_tr21257_c0_g1_i3.p1	Chfu_DN17284_c0_g1_i1.p1
OG0000852	Shad_tr4868_c2_g1_i4.p1	Chfu_DN3565_c0_g2_i1.p1
OG0000852	Shad_tr4868_c2_g2_i1.p1	Chfu_DN2177_c0_g1_i8.p1
OG0000853	Shad_tr21793_c0_g1_i9.p1, Shad_tr24453_c1_g1_i4.p1	Chfu_DN3368_c0_g1_i2.p1
OG0000854	Shad_tr5284_c0_g1_i2.p1	Chfu_DN7591_c0_g2_i1.p1
OG0000857	Shad_tr3473_c0_g1_i11.p1	Chfu_DN6204_c0_g2_i1.p1
OG0000857	Shad_tr20739_c0_g1_i1.p1	Chfu_DN395_c0_g1_i1.p1
OG0000859	Shad_tr6614_c2_g1_i6.p1	Chfu_DN812_c0_g1_i2.p1
OG0000859	Shad_tr17204_c0_g3_i4.p1	Chfu_DN5292_c0_g1_i1.p1
OG0000860	Shad_tr57657_c0_g1_i1.p1, Shad_tr14642_c0_g1_i3.p1, Shad_tr36522_c0_g1_i1.p1, Shad_tr54752_c0_g1_i1.p1, Shad_tr21259_c0_g1_i1.p1, Shad_tr22143_c2_g1_i3.p1	Chfu_DN9260_c0_g1_i1.p1
OG0000863	Shad_tr737_c0_g1_i1.p1	Chfu_DN822_c0_g1_i1.p1
OG0000863	Shad_tr11000_c0_g1_i8.p1	Chfu_DN17358_c0_g1_i1.p1
OG0000864	Shad_tr5235_c0_g1_i10.p1	Chfu_DN13994_c0_g1_i1.p1
OG0000864	Shad_tr10729_c0_g1_i7.p1	Chfu_DN5431_c0_g1_i1.p1
OG0000865	Shad_tr16373_c0_g1_i10.p1	Chfu_DN10013_c0_g1_i1.p1
OG0000865	Shad_tr5742_c0_g1_i2.p1	Chfu_DN6844_c0_g1_i1.p1
OG0000867	Shad_tr3308_c3_g1_i1.p1, Shad_tr3388_c0_g1_i14.p1	Chfu_DN2893_c0_g1_i2.p1
OG0000871	Shad_tr53331_c0_g1_i1.p1	Chfu_DN17624_c0_g1_i1.p1
OG0000871	Shad_tr53331_c0_g2_i1.p1	Chfu_DN5616_c0_g1_i1.p1
OG0000872	Shad_tr33195_c0_g1_i3.p1, Shad_tr6879_c0_g1_i4.p1	Chfu_DN19419_c0_g1_i1.p1
OG0000873	Shad_tr851_c0_g1_i1.p1, Shad_tr851_c0_g2_i1.p1	Chfu_DN1046_c0_g1_i1.p1
OG0000875	Shad_tr14915_c2_g1_i3.p1	Chfu_DN7277_c0_g1_i1.p1
OG0000876	Shad_tr25119_c1_g2_i1.p1, Shad_tr5593_c0_g1_i1.p1	Chfu_DN205_c0_g1_i1.p1, Chfu_DN413_c0_g1_i1.p1
OG0000879	Shad_tr27621_c0_g1_i1.p1, Shad_tr3559_c0_g1_i3.p1, Shad_tr62733_c0_g1_i1.p1, Shad_tr93445_c0_g1_i1.p1, Shad_tr78092_c0_g1_i1.p1	Chfu_DN4739_c0_g1_i1.p1
OG0000882	Shad_tr4935_c0_g1_i11.p1	Chfu_DN15151_c0_g1_i1.p1
OG0000882	Shad_tr6612_c3_g1_i1.p1	Chfu_DN10555_c0_g1_i3.p1
OG0000883	Shad_tr4620_c0_g2_i4.p1, Shad_tr6542_c0_g1_i2.p1	Chfu_DN3686_c0_g1_i1.p1
OG0000884	Shad_tr21216_c1_g2_i4.p1, Shad_tr21216_c1_g1_i2.p1, Shad_tr23245_c0_g1_i2.p1, Shad_tr20422_c0_g1_i2.p1	Chfu_DN3129_c0_g1_i2.p1
OG0000885	Shad_tr12248_c0_g1_i2.p1	Chfu_DN16472_c0_g1_i1.p1
OG0000885	Shad_tr8843_c0_g2_i3.p1	Chfu_DN5999_c0_g2_i2.p1
OG0000886	Shad_tr66888_c0_g1_i1.p1, Shad_tr36181_c0_g1_i1.p1	Chfu_DN12127_c0_g1_i1.p1, Chfu_DN769_c0_g1_i1.p1
OG0000888	Shad_tr51149_c1_g1_i1.p1, Shad_tr82535_c0_g1_i1.p1, Shad_tr22726_c0_g1_i5.p1	Chfu_DN12678_c0_g1_i1.p1
OG0000889	Shad_tr27849_c0_g1_i2.p1	Chfu_DN19232_c0_g1_i1.p1
OG0000891	Shad_tr585_c3_g1_i1.p1, Shad_tr9807_c1_g1_i4.p1, Shad_tr818_c8_g1_i6.p1	Chfu_DN10614_c0_g1_i2.p1
OG0000893	Shad_tr20552_c0_g1_i1.p1	Chfu_DN8206_c0_g2_i1.p1
OG0000893	Shad_tr20014_c0_g1_i1.p1	Chfu_DN2382_c0_g1_i1.p1
OG0000894	Shad_tr2953_c2_g2_i1.p1, Shad_tr34426_c0_g1_i3.p1	Chfu_DN2707_c0_g1_i1.p1
OG0000895	Shad_tr5960_c1_g1_i2.p1, Shad_tr12_c0_g1_i1.p1, Shad_tr22374_c0_g1_i2.p1	Chfu_DN124_c0_g1_i1.p1
OG0000897	Shad_tr27156_c0_g1_i1.p1, Shad_tr32001_c0_g1_i1.p1, Shad_tr110815_c0_g1_i1.p1	Chfu_DN1437_c1_g1_i1.p1
OG0000906	Shad_tr3672_c0_g1_i1.p1	Chfu_DN3385_c1_g5_i1.p1, Chfu_DN3385_c1_g3_i1.p1
OG0000906	Shad_tr47797_c0_g1_i2.p1	Chfu_DN3385_c0_g1_i1.p1
OG0000907	Shad_tr8049_c0_g2_i1.p1	Chfu_DN15109_c0_g1_i1.p1
OG0000908	Shad_tr9439_c0_g1_i11.p1	Chfu_DN17682_c0_g1_i1.p1
OG0000909	Shad_tr253_c0_g1_i6.p1	Chfu_DN4291_c0_g1_i1.p1
OG0000909	Shad_tr15859_c0_g2_i1.p1	Chfu_DN2355_c0_g1_i4.p1
OG0000910	Shad_tr13482_c0_g1_i1.p1	Chfu_DN4096_c0_g2_i1.p2
OG0000910	Shad_tr585_c14_g1_i5.p1	Chfu_DN17932_c0_g1_i1.p1, Chfu_DN17351_c0_g1_i1.p1
OG0000911	Shad_tr12454_c0_g1_i6.p1, Shad_tr2471_c0_g1_i1.p1	Chfu_DN7053_c0_g1_i1.p1
OG0000912	Shad_tr1423_c0_g1_i1.p1, Shad_tr17326_c1_g1_i3.p1, Shad_tr17326_c2_g1_i1.p1	Chfu_DN915_c0_g1_i1.p1
OG0000913	Shad_tr3196_c2_g1_i19.p1	Chfu_DN13944_c0_g1_i1.p1, Chfu_DN12391_c0_g1_i1.p1
OG0000913	Shad_tr3203_c5_g1_i7.p1	Chfu_DN9252_c0_g1_i1.p1, Chfu_DN12672_c0_g1_i1.p1
OG0000916	Shad_tr1651_c1_g2_i6.p1, Shad_tr40750_c0_g1_i1.p1, Shad_tr22623_c0_g1_i2.p1, Shad_tr18955_c1_g1_i9.p1, Shad_tr20548_c0_g1_i2.p1, Shad_tr7783_c0_g1_i14.p1	Chfu_DN8791_c0_g2_i1.p1
OG0000917	Shad_tr3577_c0_g1_i1.p1	Chfu_DN415_c0_g2_i1.p1
OG0000917	Shad_tr12744_c0_g1_i2.p1	Chfu_DN1832_c0_g1_i1.p1
OG0000919	Shad_tr46068_c0_g1_i1.p1	Chfu_DN12828_c0_g4_i1.p1, Chfu_DN12828_c0_g5_i1.p1
OG0000923	Shad_tr2263_c0_g1_i4.p1, Shad_tr26236_c2_g1_i1.p1	Chfu_DN68_c0_g1_i2.p1
OG0000925	Shad_tr4775_c1_g1_i1.p1	Chfu_DN4185_c0_g1_i1.p1
OG0000927	Shad_tr53328_c0_g1_i1.p1, Shad_tr439_c0_g1_i10.p1, Shad_tr28179_c0_g1_i2.p1, Shad_tr28476_c1_g1_i1.p1, Shad_tr8438_c0_g1_i15.p1	Chfu_DN2475_c0_g1_i1.p1
OG0000930	Shad_tr277_c0_g1_i2.p1	Chfu_DN1740_c0_g1_i5.p1
OG0000930	Shad_tr18307_c0_g1_i2.p1	Chfu_DN17718_c0_g1_i1.p1
OG0000932	Shad_tr3289_c1_g1_i1.p1	Chfu_DN19547_c0_g1_i1.p1
OG0000935	Shad_tr16383_c0_g1_i4.p1	Chfu_DN19541_c0_g1_i1.p1, Chfu_DN9447_c0_g1_i1.p1
OG0000935	Shad_tr32821_c0_g1_i1.p1	Chfu_DN3823_c0_g1_i1.p1
OG0000937	Shad_tr8614_c1_g1_i1.p1, Shad_tr62123_c0_g1_i1.p1, Shad_tr31562_c0_g1_i1.p1	Chfu_DN529_c0_g1_i1.p1
OG0000938	Shad_tr2702_c0_g1_i2.p1, Shad_tr11792_c0_g1_i1.p1	Chfu_DN2295_c0_g1_i1.p1, Chfu_DN2295_c0_g2_i5.p1
OG0000939	Shad_tr773_c2_g1_i1.p1, Shad_tr41375_c0_g1_i1.p1, Shad_tr1491_c0_g1_i1.p1	Chfu_DN11638_c0_g1_i1.p1
OG0000942	Shad_tr88791_c0_g2_i1.p1, Shad_tr5774_c1_g1_i2.p1, Shad_tr61360_c54_g1_i1.p1, Shad_tr88791_c0_g1_i1.p1, Shad_tr1200_c3_g1_i1.p1	Chfu_DN801_c0_g1_i1.p1
OG0000944	Shad_tr39042_c0_g1_i2.p1	Chfu_DN13941_c0_g1_i1.p1, Chfu_DN19348_c0_g1_i1.p1, Chfu_DN10553_c0_g1_i1.p1, Chfu_DN18286_c0_g1_i1.p1, Chfu_DN19100_c0_g1_i1.p1
OG0000948	Shad_tr71251_c0_g1_i1.p1	Chfu_DN8625_c0_g2_i1.p1, Chfu_DN8625_c0_g1_i1.p1
OG0000948	Shad_tr383_c0_g1_i1.p1	Chfu_DN33_c0_g2_i1.p1, Chfu_DN33_c1_g1_i3.p1, Chfu_DN33_c0_g1_i3.p1
OG0000949	Shad_tr41973_c0_g2_i1.p1	Chfu_DN20098_c0_g1_i1.p1, Chfu_DN4052_c0_g3_i1.p1, Chfu_DN4052_c0_g2_i1.p1, Chfu_DN16891_c0_g1_i1.p1
OG0000950	Shad_tr19144_c0_g1_i7.p1	Chfu_DN11056_c0_g1_i1.p1
OG0000951	Shad_tr2555_c2_g1_i6.p1	Chfu_DN696_c0_g1_i13.p1
OG0000953	Shad_tr15857_c0_g1_i3.p1	Chfu_DN9151_c0_g1_i1.p1
OG0000958	Shad_tr45759_c1_g1_i1.p1	Chfu_DN14412_c0_g1_i1.p1
OG0000958	Shad_tr26753_c0_g2_i1.p1	Chfu_DN10590_c0_g2_i1.p1
OG0000959	Shad_tr18660_c0_g1_i1.p1	Chfu_DN595_c0_g1_i5.p1
OG0000959	Shad_tr7479_c0_g1_i5.p1	Chfu_DN14421_c0_g1_i1.p1
OG0000961	Shad_tr62982_c0_g1_i1.p1	Chfu_DN3179_c0_g1_i1.p1
OG0000961	Shad_tr591_c2_g1_i1.p1	Chfu_DN2339_c0_g1_i8.p1
OG0000962	Shad_tr5475_c1_g1_i2.p1	Chfu_DN938_c0_g1_i3.p1
OG0000965	Shad_tr29120_c0_g1_i1.p1, Shad_tr69592_c0_g1_i1.p1	Chfu_DN4777_c0_g1_i1.p1
OG0000968	Shad_tr20311_c0_g1_i1.p1	Chfu_DN7513_c0_g1_i1.p1
OG0000970	Shad_tr9183_c1_g2_i8.p1	Chfu_DN5975_c0_g1_i1.p1
OG0000971	Shad_tr9302_c0_g1_i4.p1, Shad_tr56538_c0_g2_i3.p1	Chfu_DN13611_c0_g2_i1.p1, Chfu_DN13611_c0_g1_i1.p1
OG0000972	Shad_tr30433_c3_g2_i1.p1	Chfu_DN7948_c0_g1_i1.p1
OG0000973	Shad_tr7443_c0_g2_i1.p1, Shad_tr30219_c0_g1_i11.p1, Shad_tr7443_c0_g3_i6.p1, Shad_tr7697_c0_g1_i2.p1	Chfu_DN1119_c0_g1_i1.p1
OG0000974	Shad_tr112036_c0_g1_i1.p1, Shad_tr6718_c1_g1_i7.p1	Chfu_DN1322_c0_g1_i2.p1
OG0000978	Shad_tr42638_c0_g1_i1.p1, Shad_tr41587_c0_g1_i1.p1	Chfu_DN19439_c0_g1_i1.p1, Chfu_DN2282_c0_g1_i1.p1
OG0000980	Shad_tr22664_c0_g2_i1.p1	Chfu_DN18697_c0_g1_i1.p1
OG0000982	Shad_tr63890_c0_g1_i1.p1, Shad_tr13238_c0_g2_i1.p1, Shad_tr34776_c0_g4_i2.p1	Chfu_DN14604_c0_g1_i1.p1, Chfu_DN12047_c0_g1_i1.p1
OG0000985	Shad_tr19328_c0_g2_i5.p1, Shad_tr9924_c2_g2_i1.p1	Chfu_DN103_c0_g1_i2.p1
OG0000986	Shad_tr4234_c0_g1_i7.p1	Chfu_DN29_c0_g1_i2.p1
OG0000986	Shad_tr10575_c0_g1_i3.p1	Chfu_DN3536_c0_g1_i1.p1
OG0000992	Shad_tr1521_c0_g1_i2.p1	Chfu_DN5439_c0_g4_i1.p1
OG0000993	Shad_tr100628_c0_g1_i1.p1	Chfu_DN11675_c0_g2_i1.p1, Chfu_DN11675_c0_g1_i1.p1, Chfu_DN17453_c0_g1_i1.p1
OG0000993	Shad_tr89171_c0_g1_i1.p1	Chfu_DN7171_c0_g1_i1.p1
OG0000996	Shad_tr20499_c0_g1_i5.p1	Chfu_DN19254_c0_g1_i1.p1
OG0000998	Shad_tr4836_c0_g1_i1.p1	Chfu_DN15592_c0_g1_i1.p1
OG0000998	Shad_tr17167_c1_g1_i1.p1	Chfu_DN19031_c0_g1_i1.p1
OG0001000	Shad_tr14028_c0_g1_i2.p1	Chfu_DN15906_c0_g1_i1.p1
OG0001002	Shad_tr10160_c1_g1_i1.p1	Chfu_DN4881_c0_g1_i1.p1
OG0001003	Shad_tr162_c7_g1_i1.p1, Shad_tr5700_c0_g1_i49.p1, Shad_tr5700_c0_g2_i1.p1	Chfu_DN13972_c0_g1_i1.p1
OG0001004	Shad_tr6894_c0_g2_i1.p1	Chfu_DN13203_c0_g1_i1.p1
OG0001004	Shad_tr13389_c0_g1_i25.p1	Chfu_DN4283_c0_g1_i1.p1
OG0001006	Shad_tr39627_c0_g1_i1.p1	Chfu_DN546_c0_g1_i1.p1
OG0001006	Shad_tr28096_c0_g1_i5.p1	Chfu_DN4699_c0_g1_i1.p1
OG0001007	Shad_tr35581_c0_g1_i1.p1	Chfu_DN20091_c0_g1_i1.p1
OG0001010	Shad_tr5563_c0_g1_i1.p1	Chfu_DN5619_c0_g2_i1.p1
OG0001011	Shad_tr79042_c0_g1_i1.p1, Shad_tr341_c0_g1_i1.p1, Shad_tr11234_c1_g1_i1.p1	Chfu_DN738_c0_g1_i1.p1
OG0001012	Shad_tr83855_c0_g1_i1.p1, Shad_tr47_c3_g1_i1.p1	Chfu_DN1228_c0_g1_i1.p1
OG0001012	Shad_tr42225_c0_g1_i2.p1	Chfu_DN8943_c0_g1_i1.p1, Chfu_DN8943_c0_g2_i1.p1
OG0001014	Shad_tr51447_c1_g1_i11.p1, Shad_tr21855_c0_g1_i1.p1	Chfu_DN1875_c0_g1_i1.p1
OG0001015	Shad_tr1864_c2_g1_i1.p1	Chfu_DN10092_c0_g1_i1.p1
OG0001015	Shad_tr15186_c0_g3_i1.p1, Shad_tr15186_c0_g1_i3.p1	Chfu_DN7131_c0_g1_i1.p1
OG0001016	Shad_tr6397_c0_g2_i1.p1	Chfu_DN12295_c0_g1_i1.p1, Chfu_DN12295_c0_g2_i1.p1
OG0001018	Shad_tr4464_c0_g1_i1.p1	Chfu_DN4430_c0_g1_i1.p1, Chfu_DN19014_c0_g1_i1.p1
OG0001018	Shad_tr4637_c0_g2_i1.p1	Chfu_DN932_c0_g1_i3.p1
OG0001020	Shad_tr13757_c0_g3_i2.p1, Shad_tr8598_c5_g1_i1.p1	Chfu_DN271_c0_g1_i1.p1, Chfu_DN11191_c0_g1_i1.p1, Chfu_DN18324_c0_g1_i1.p1
OG0001021	Shad_tr816_c4_g1_i33.p1, Shad_tr3243_c3_g1_i1.p1, Shad_tr44693_c0_g1_i3.p1	Chfu_DN5502_c0_g1_i1.p1
OG0001024	Shad_tr105900_c0_g1_i1.p1, Shad_tr64824_c0_g1_i5.p1, Shad_tr4383_c0_g4_i2.p1	Chfu_DN9542_c0_g1_i1.p1
OG0001027	Shad_tr14220_c0_g2_i1.p1, Shad_tr46582_c0_g1_i1.p1, Shad_tr39863_c0_g1_i1.p1	Chfu_DN334_c0_g1_i1.p1
OG0001028	Shad_tr72872_c0_g1_i1.p1, Shad_tr63941_c0_g1_i1.p1	Chfu_DN7056_c0_g2_i1.p1
OG0001029	Shad_tr37373_c0_g1_i1.p1	Chfu_DN16394_c0_g1_i1.p1, Chfu_DN4067_c0_g1_i1.p1
OG0001031	Shad_tr11421_c1_g1_i1.p1, Shad_tr11214_c0_g1_i1.p1	Chfu_DN20_c0_g1_i1.p1
OG0001033	Shad_tr35132_c1_g1_i1.p1	Chfu_DN18915_c0_g1_i1.p1
OG0001035	Shad_tr5237_c0_g2_i2.p3	Chfu_DN581_c0_g1_i1.p1
OG0001036	Shad_tr3820_c0_g1_i1.p1, Shad_tr9368_c0_g1_i1.p1	Chfu_DN6775_c0_g1_i1.p1
OG0001037	Shad_tr1812_c4_g1_i6.p1, Shad_tr17402_c0_g3_i1.p1	Chfu_DN10925_c0_g2_i1.p1, Chfu_DN2912_c0_g1_i1.p1, Chfu_DN2054_c0_g1_i1.p1
OG0001037	Shad_tr62906_c0_g1_i1.p1	Chfu_DN896_c0_g3_i1.p1
OG0001042	Shad_tr761_c13_g1_i3.p1	Chfu_DN4772_c0_g1_i1.p1
OG0001043	Shad_tr6311_c1_g1_i1.p1	Chfu_DN1594_c0_g1_i1.p1
OG0001044	Shad_tr17645_c0_g2_i1.p1, Shad_tr824_c1_g1_i1.p1	Chfu_DN264_c0_g1_i4.p1
