Orthogroup	Stichodactyla_haddoni_longest_pep	Sanderia_malayensis_longest_pep
OG0002591	Shad_tr6848_c0_g1_i2.p1	Sama_DN2490_c0_g1_i3.p1
OG0002593	Shad_tr39_c14_g1_i1.p1, Shad_tr4808_c0_g1_i3.p1	Sama_DN1435_c0_g1_i1.p1
OG0002594	Shad_tr62588_c2_g1_i1.p1	Sama_DN11501_c0_g1_i1.p1
OG0002595	Shad_tr1515_c0_g2_i1.p1	Sama_DN1240_c0_g1_i1.p1
OG0002607	Shad_tr9651_c1_g1_i1.p1	Sama_DN3585_c0_g1_i2.p1
OG0002608	Shad_tr3134_c6_g1_i1.p1, Shad_tr1199_c1_g1_i24.p1	Sama_DN2218_c0_g2_i1.p1, Sama_DN2218_c0_g1_i6.p1
OG0002609	Shad_tr11696_c1_g1_i3.p1	Sama_DN14202_c0_g1_i1.p1
OG0002610	Shad_tr4349_c0_g4_i2.p1	Sama_DN4231_c0_g1_i6.p1
OG0002611	Shad_tr13487_c2_g1_i1.p1, Shad_tr42811_c0_g2_i4.p1	Sama_DN4148_c0_g1_i1.p1
OG0002612	Shad_tr12898_c0_g1_i1.p1	Sama_DN1472_c1_g1_i1.p1, Sama_DN6646_c0_g1_i1.p1, Sama_DN11653_c0_g1_i1.p1, Sama_DN1472_c1_g2_i1.p1
OG0002613	Shad_tr1879_c1_g1_i6.p1	Sama_DN7535_c0_g1_i1.p1, Sama_DN7535_c0_g2_i1.p1, Sama_DN10375_c0_g2_i1.p1, Sama_DN13933_c0_g1_i1.p1
OG0002616	Shad_tr22676_c1_g1_i1.p1	Sama_DN186_c0_g1_i1.p1, Sama_DN7959_c0_g1_i1.p1, Sama_DN7959_c0_g2_i1.p1
OG0002617	Shad_tr96936_c0_g1_i1.p1, Shad_tr7878_c0_g2_i2.p1	Sama_DN4707_c1_g1_i1.p1
OG0002619	Shad_tr18435_c0_g1_i8.p1	Sama_DN10222_c0_g1_i1.p1
OG0002620	Shad_tr8911_c0_g1_i3.p1	Sama_DN9114_c0_g1_i1.p1
OG0002622	Shad_tr40572_c0_g1_i1.p1	Sama_DN7123_c0_g1_i1.p1
OG0002623	Shad_tr80922_c0_g1_i1.p1, Shad_tr5353_c3_g2_i3.p1	Sama_DN8958_c0_g1_i1.p1, Sama_DN13253_c0_g1_i1.p1
OG0002626	Shad_tr6082_c1_g1_i1.p1	Sama_DN2613_c0_g1_i2.p1, Sama_DN1317_c0_g1_i1.p1
OG0002628	Shad_tr7506_c1_g1_i2.p1	Sama_DN2579_c0_g1_i1.p1
OG0002629	Shad_tr1186_c1_g1_i1.p1	Sama_DN6575_c1_g1_i1.p1
OG0002630	Shad_tr11772_c0_g1_i3.p1	Sama_DN4621_c0_g1_i1.p1, Sama_DN5176_c0_g2_i2.p1, Sama_DN5176_c0_g1_i1.p1
OG0002632	Shad_tr4551_c0_g2_i1.p1	Sama_DN2308_c0_g1_i1.p1
OG0002634	Shad_tr7223_c0_g2_i1.p1	Sama_DN4181_c0_g1_i1.p1
OG0002635	Shad_tr7300_c0_g1_i4.p1	Sama_DN2754_c0_g2_i1.p1
OG0002636	Shad_tr19138_c0_g1_i1.p1	Sama_DN4234_c0_g1_i1.p1
OG0002642	Shad_tr818_c2_g1_i7.p1, Shad_tr32981_c0_g1_i4.p1, Shad_tr62969_c0_g1_i1.p1	Sama_DN11634_c0_g1_i1.p1
OG0002643	Shad_tr10435_c0_g1_i10.p1	Sama_DN4562_c0_g1_i1.p1
OG0002644	Shad_tr4247_c0_g1_i11.p1	Sama_DN1972_c0_g1_i6.p1
OG0002645	Shad_tr1152_c1_g1_i10.p1	Sama_DN4347_c0_g1_i1.p1
OG0002646	Shad_tr6741_c1_g1_i13.p1	Sama_DN8841_c0_g1_i1.p1
OG0002647	Shad_tr23629_c0_g1_i2.p1	Sama_DN9681_c0_g1_i1.p1, Sama_DN3208_c0_g1_i1.p1
OG0002649	Shad_tr29296_c0_g1_i1.p1	Sama_DN4703_c0_g2_i2.p1
OG0002650	Shad_tr10419_c0_g1_i9.p1	Sama_DN8300_c0_g1_i1.p1, Sama_DN8300_c0_g2_i1.p1, Sama_DN10358_c0_g1_i1.p1
OG0002651	Shad_tr21295_c0_g1_i7.p1	Sama_DN2366_c0_g1_i1.p1
OG0002652	Shad_tr11441_c0_g2_i1.p1	Sama_DN4266_c0_g2_i1.p1
OG0002653	Shad_tr39298_c1_g1_i3.p1	Sama_DN3170_c0_g1_i1.p1
OG0002654	Shad_tr7831_c0_g1_i5.p1, Shad_tr36642_c0_g1_i2.p1	Sama_DN11911_c0_g1_i1.p1, Sama_DN12494_c0_g1_i1.p1
OG0002656	Shad_tr2191_c0_g2_i3.p1	Sama_DN744_c0_g1_i1.p1
OG0002657	Shad_tr28873_c0_g2_i1.p1	Sama_DN120_c0_g1_i1.p1
OG0002658	Shad_tr5293_c2_g2_i1.p1, Shad_tr112_c0_g1_i5.p1	Sama_DN2391_c0_g1_i1.p1
OG0002659	Shad_tr17708_c0_g1_i10.p1	Sama_DN4895_c0_g1_i1.p1
OG0002661	Shad_tr1431_c0_g1_i2.p1, Shad_tr4034_c0_g1_i2.p1	Sama_DN7096_c0_g1_i1.p1
OG0002662	Shad_tr15252_c0_g1_i3.p1	Sama_DN6384_c0_g2_i1.p1, Sama_DN6384_c0_g3_i1.p1
OG0002664	Shad_tr3264_c0_g1_i11.p1	Sama_DN2886_c0_g2_i1.p1
OG0002667	Shad_tr10145_c0_g1_i14.p1	Sama_DN5589_c0_g2_i3.p1
OG0002668	Shad_tr3832_c0_g2_i9.p1	Sama_DN14166_c0_g1_i1.p1, Sama_DN7336_c0_g1_i1.p1
OG0002670	Shad_tr8992_c0_g2_i7.p1	Sama_DN10370_c0_g1_i1.p1
OG0002671	Shad_tr1330_c0_g1_i19.p1	Sama_DN2383_c0_g1_i2.p1
OG0002672	Shad_tr8080_c0_g1_i4.p1	Sama_DN11625_c0_g1_i1.p1
OG0002673	Shad_tr96911_c0_g1_i1.p1	Sama_DN3706_c0_g1_i1.p1
OG0002674	Shad_tr11630_c0_g1_i17.p1	Sama_DN3749_c0_g1_i1.p1
OG0002675	Shad_tr10847_c0_g1_i3.p2, Shad_tr10847_c0_g2_i1.p1	Sama_DN645_c0_g1_i4.p1
OG0002676	Shad_tr580_c18_g1_i1.p1, Shad_tr56121_c0_g1_i1.p1	Sama_DN12245_c0_g1_i1.p1
OG0002678	Shad_tr6197_c0_g1_i2.p1	Sama_DN14046_c0_g1_i1.p1
OG0002680	Shad_tr3416_c0_g1_i34.p1	Sama_DN7344_c0_g1_i1.p1
OG0002681	Shad_tr4742_c0_g1_i8.p1	Sama_DN9544_c0_g1_i1.p1
OG0002682	Shad_tr6631_c0_g1_i4.p1	Sama_DN3892_c0_g1_i1.p1
OG0002684	Shad_tr1463_c3_g1_i2.p1	Sama_DN7916_c0_g1_i1.p1
OG0002685	Shad_tr37_c2_g1_i2.p1	Sama_DN9844_c0_g1_i1.p1
OG0002688	Shad_tr427_c5_g1_i4.p1, Shad_tr15953_c0_g1_i3.p1	Sama_DN13577_c0_g1_i1.p1
OG0002689	Shad_tr3576_c1_g1_i2.p1	Sama_DN3137_c0_g1_i1.p1
OG0002690	Shad_tr818_c4_g1_i3.p1	Sama_DN3842_c0_g1_i1.p1
OG0002691	Shad_tr21276_c0_g2_i1.p1	Sama_DN8530_c0_g1_i1.p1
OG0002692	Shad_tr4348_c0_g1_i77.p1	Sama_DN12288_c0_g1_i1.p1, Sama_DN8929_c0_g1_i1.p1, Sama_DN14148_c0_g1_i1.p1, Sama_DN4371_c0_g1_i2.p1
OG0002693	Shad_tr3354_c0_g1_i5.p1	Sama_DN10033_c0_g4_i1.p1, Sama_DN10033_c0_g1_i1.p1, Sama_DN10033_c0_g2_i1.p1
OG0002695	Shad_tr13310_c0_g1_i19.p1	Sama_DN10157_c0_g1_i1.p1, Sama_DN12749_c0_g1_i1.p1
OG0002696	Shad_tr12238_c1_g1_i5.p1	Sama_DN639_c0_g1_i2.p1
OG0002697	Shad_tr12146_c0_g1_i12.p1	Sama_DN6726_c0_g1_i3.p1
OG0002698	Shad_tr17387_c2_g1_i9.p1	Sama_DN5338_c0_g1_i1.p1
OG0002699	Shad_tr4949_c3_g2_i5.p1, Shad_tr1589_c3_g1_i4.p1	Sama_DN4323_c0_g1_i2.p1
OG0002701	Shad_tr8244_c1_g1_i20.p1	Sama_DN1945_c0_g1_i1.p1
OG0002703	Shad_tr1453_c3_g1_i7.p1, Shad_tr23820_c0_g1_i7.p1	Sama_DN1577_c0_g1_i1.p1, Sama_DN10424_c0_g1_i1.p1
OG0002706	Shad_tr11421_c2_g1_i1.p1	Sama_DN3187_c0_g1_i1.p1
OG0002707	Shad_tr6028_c0_g1_i11.p1	Sama_DN165_c0_g1_i1.p1
OG0002708	Shad_tr15728_c0_g1_i3.p1	Sama_DN1698_c1_g3_i1.p1
OG0002709	Shad_tr6666_c2_g1_i1.p1	Sama_DN2318_c0_g1_i1.p1
OG0002711	Shad_tr10649_c0_g1_i3.p1	Sama_DN2978_c0_g1_i1.p1
OG0002712	Shad_tr20143_c0_g1_i21.p1	Sama_DN10247_c0_g1_i1.p1
OG0002719	Shad_tr22875_c2_g1_i1.p1	Sama_DN2387_c0_g1_i1.p1
OG0002720	Shad_tr18812_c0_g5_i1.p1	Sama_DN12964_c0_g1_i1.p1
OG0002722	Shad_tr9377_c0_g1_i2.p1	Sama_DN9654_c0_g1_i1.p1
OG0002723	Shad_tr15199_c0_g1_i6.p1	Sama_DN7745_c0_g1_i1.p1
OG0002725	Shad_tr1205_c0_g2_i1.p1	Sama_DN6994_c0_g2_i1.p1
OG0002725	Shad_tr109896_c0_g1_i1.p1	Sama_DN6994_c0_g1_i1.p1
OG0002728	Shad_tr94520_c0_g1_i1.p1	Sama_DN4057_c0_g4_i1.p1
OG0002729	Shad_tr3651_c0_g1_i23.p1	Sama_DN2153_c0_g1_i1.p1
OG0002730	Shad_tr32378_c0_g1_i3.p1	Sama_DN6020_c0_g3_i1.p1
OG0002731	Shad_tr91363_c0_g1_i1.p1	Sama_DN1112_c0_g1_i1.p1
OG0002734	Shad_tr10153_c1_g1_i1.p1	Sama_DN4781_c1_g1_i3.p1
OG0002735	Shad_tr76474_c0_g1_i1.p1, Shad_tr17077_c0_g1_i4.p1	Sama_DN3644_c0_g1_i4.p1
OG0002736	Shad_tr1744_c4_g1_i1.p1	Sama_DN1297_c0_g1_i1.p1
OG0002737	Shad_tr38446_c0_g1_i2.p1	Sama_DN4426_c0_g1_i2.p1
OG0002738	Shad_tr2348_c3_g2_i3.p1, Shad_tr33328_c0_g1_i4.p1	Sama_DN11101_c0_g1_i1.p1
OG0002739	Shad_tr3194_c0_g1_i1.p1	Sama_DN851_c0_g1_i1.p1
OG0002740	Shad_tr23395_c3_g1_i1.p1, Shad_tr23395_c0_g1_i2.p1	Sama_DN11810_c0_g1_i1.p1
OG0002741	Shad_tr9494_c0_g1_i1.p1	Sama_DN1716_c0_g1_i1.p1
OG0002742	Shad_tr7672_c0_g1_i3.p1	Sama_DN5688_c0_g1_i1.p1
OG0002746	Shad_tr4172_c0_g1_i2.p1	Sama_DN2581_c0_g1_i1.p1
OG0002747	Shad_tr11448_c0_g2_i10.p1, Shad_tr12367_c2_g1_i1.p1	Sama_DN9758_c0_g2_i1.p1, Sama_DN9758_c0_g1_i1.p1
OG0002748	Shad_tr8524_c0_g1_i2.p1	Sama_DN7946_c0_g1_i1.p1
OG0002750	Shad_tr5980_c1_g1_i4.p1	Sama_DN4996_c0_g1_i1.p1, Sama_DN14058_c0_g1_i1.p1, Sama_DN1008_c2_g1_i1.p1
OG0002753	Shad_tr2177_c0_g3_i4.p1	Sama_DN5652_c0_g1_i1.p1
OG0002758	Shad_tr2721_c0_g1_i5.p1	Sama_DN1160_c0_g1_i1.p1
OG0002759	Shad_tr27516_c0_g1_i1.p1	Sama_DN4373_c0_g1_i1.p1
OG0002762	Shad_tr24102_c0_g1_i2.p1, Shad_tr31119_c1_g1_i1.p1	Sama_DN2528_c0_g1_i2.p1
OG0002763	Shad_tr14153_c0_g1_i1.p1	Sama_DN708_c0_g1_i1.p1, Sama_DN1049_c0_g1_i1.p1
OG0002764	Shad_tr125_c0_g1_i1.p1	Sama_DN1190_c0_g1_i1.p1, Sama_DN11761_c0_g1_i1.p1
OG0002765	Shad_tr16114_c0_g1_i7.p1	Sama_DN25_c0_g1_i1.p1, Sama_DN2340_c0_g1_i1.p1
OG0002766	Shad_tr2461_c0_g1_i6.p1	Sama_DN3444_c0_g1_i1.p1
OG0002769	Shad_tr15183_c0_g1_i25.p1	Sama_DN1302_c0_g1_i1.p1
OG0002770	Shad_tr43567_c0_g1_i2.p1	Sama_DN14103_c0_g1_i1.p1
OG0002771	Shad_tr6357_c0_g1_i2.p1	Sama_DN2823_c0_g1_i2.p1, Sama_DN1783_c0_g1_i1.p1
OG0002773	Shad_tr33510_c0_g1_i5.p1	Sama_DN2764_c0_g1_i1.p1
OG0002774	Shad_tr86690_c0_g1_i1.p1, Shad_tr2484_c1_g2_i1.p1	Sama_DN7459_c0_g2_i1.p1
OG0002776	Shad_tr479_c3_g1_i1.p1	Sama_DN4508_c0_g1_i2.p1, Sama_DN3006_c0_g1_i1.p1
OG0002777	Shad_tr11128_c1_g1_i1.p1	Sama_DN1961_c0_g4_i1.p2, Sama_DN1961_c0_g3_i1.p1, Sama_DN1961_c0_g1_i1.p1
OG0002778	Shad_tr8537_c0_g2_i1.p1	Sama_DN6179_c0_g1_i1.p1
OG0002780	Shad_tr20904_c1_g2_i1.p1, Shad_tr20904_c4_g1_i1.p1	Sama_DN13886_c0_g1_i1.p1
OG0002782	Shad_tr2498_c0_g3_i1.p1	Sama_DN5201_c0_g1_i1.p1, Sama_DN2311_c0_g1_i1.p1
OG0002784	Shad_tr54115_c1_g1_i1.p1, Shad_tr43647_c1_g1_i1.p1, Shad_tr8208_c1_g1_i7.p1, Shad_tr43647_c0_g1_i1.p1	Sama_DN13921_c0_g1_i1.p1
OG0002787	Shad_tr10003_c1_g1_i1.p1	Sama_DN3490_c0_g1_i1.p1, Sama_DN5876_c0_g3_i1.p1
OG0002789	Shad_tr35166_c0_g2_i2.p1, Shad_tr4983_c0_g2_i10.p1	Sama_DN3115_c0_g1_i1.p1
OG0002792	Shad_tr18027_c0_g1_i2.p1, Shad_tr106994_c0_g1_i1.p1	Sama_DN9206_c0_g1_i1.p1, Sama_DN13399_c0_g1_i1.p1
OG0002796	Shad_tr18244_c1_g1_i1.p1, Shad_tr88767_c0_g1_i1.p1	Sama_DN9128_c0_g1_i1.p1, Sama_DN6034_c0_g1_i1.p1, Sama_DN6034_c0_g3_i1.p1
OG0002798	Shad_tr5037_c1_g1_i1.p1	Sama_DN11068_c0_g1_i1.p1
OG0002803	Shad_tr87446_c0_g1_i1.p1	Sama_DN11786_c0_g1_i1.p1
OG0002807	Shad_tr17872_c0_g3_i1.p1	Sama_DN11975_c0_g1_i1.p1, Sama_DN788_c0_g1_i1.p1
OG0002808	Shad_tr66761_c0_g1_i1.p1	Sama_DN90_c0_g1_i1.p1
OG0002809	Shad_tr31946_c0_g1_i1.p1, Shad_tr1344_c0_g1_i1.p1	Sama_DN14089_c0_g1_i1.p2
OG0002810	Shad_tr607_c0_g1_i1.p1	Sama_DN3209_c0_g1_i1.p1
OG0002811	Shad_tr14371_c0_g2_i3.p1	Sama_DN4438_c0_g1_i1.p1
OG0002813	Shad_tr23169_c0_g1_i1.p1	Sama_DN7813_c0_g1_i1.p1
OG0002815	Shad_tr96931_c0_g1_i1.p1, Shad_tr88727_c0_g1_i1.p1	Sama_DN11103_c0_g1_i1.p1
OG0002818	Shad_tr10558_c0_g3_i3.p1	Sama_DN12088_c0_g1_i1.p1
OG0002820	Shad_tr20473_c0_g1_i4.p1	Sama_DN2919_c0_g1_i2.p1
OG0002822	Shad_tr87935_c0_g1_i1.p1, Shad_tr17858_c0_g1_i1.p1	Sama_DN12666_c0_g1_i1.p1
OG0002823	Shad_tr57306_c0_g1_i1.p2, Shad_tr57017_c1_g1_i1.p1	Sama_DN12191_c0_g1_i1.p1
OG0002828	Shad_tr58164_c0_g2_i1.p1, Shad_tr995_c2_g1_i1.p1, Shad_tr88965_c0_g1_i1.p1	Sama_DN11746_c0_g1_i1.p1
OG0002829	Shad_tr62546_c0_g1_i1.p1, Shad_tr223_c2_g1_i1.p1	Sama_DN2928_c0_g1_i1.p1
OG0002830	Shad_tr24083_c3_g1_i2.p1	Sama_DN2378_c0_g1_i1.p1
OG0002831	Shad_tr13043_c0_g2_i1.p1	Sama_DN1430_c0_g1_i1.p1, Sama_DN190_c0_g1_i5.p1
OG0002832	Shad_tr610_c0_g1_i2.p1	Sama_DN257_c0_g1_i8.p1
OG0002835	Shad_tr15628_c0_g1_i1.p1, Shad_tr16898_c0_g2_i1.p1, Shad_tr9148_c4_g1_i1.p1	Sama_DN654_c0_g1_i1.p1
OG0002844	Shad_tr7568_c0_g1_i4.p1	Sama_DN4196_c0_g3_i2.p1
OG0002845	Shad_tr6739_c0_g1_i3.p1	Sama_DN1931_c0_g1_i1.p1
OG0002849	Shad_tr5253_c2_g1_i2.p1	Sama_DN6873_c0_g1_i1.p1, Sama_DN6873_c0_g2_i1.p1
OG0002851	Shad_tr5896_c2_g1_i4.p1	Sama_DN584_c1_g1_i2.p1
OG0002853	Shad_tr9110_c0_g1_i1.p1	Sama_DN11378_c0_g1_i1.p1
OG0002854	Shad_tr4057_c0_g1_i13.p1	Sama_DN7572_c0_g1_i2.p1
OG0002858	Shad_tr6539_c0_g1_i1.p1	Sama_DN1539_c0_g1_i1.p1
OG0002859	Shad_tr287_c1_g1_i6.p1	Sama_DN8257_c0_g1_i1.p1, Sama_DN8257_c0_g3_i1.p1, Sama_DN2369_c0_g1_i1.p1
OG0002860	Shad_tr3491_c0_g1_i7.p1	Sama_DN6511_c0_g1_i1.p1, Sama_DN6511_c0_g2_i1.p1
OG0002861	Shad_tr1036_c0_g1_i3.p1	Sama_DN1775_c0_g1_i3.p1
OG0002863	Shad_tr4236_c0_g2_i4.p1	Sama_DN5805_c0_g1_i1.p1
OG0002864	Shad_tr12111_c0_g1_i9.p1	Sama_DN4922_c0_g1_i1.p1
OG0002865	Shad_tr1764_c0_g2_i3.p1	Sama_DN8022_c0_g3_i1.p1, Sama_DN8022_c0_g1_i1.p1, Sama_DN8022_c0_g2_i1.p1
OG0002866	Shad_tr16895_c1_g1_i2.p1	Sama_DN8833_c0_g1_i1.p1
OG0002867	Shad_tr8363_c1_g1_i7.p1	Sama_DN11178_c0_g1_i1.p1
OG0002869	Shad_tr21428_c0_g1_i1.p1	Sama_DN5665_c0_g1_i2.p1
OG0002870	Shad_tr11328_c0_g1_i3.p1	Sama_DN9023_c0_g1_i1.p1
OG0002871	Shad_tr78406_c0_g1_i1.p1, Shad_tr15619_c0_g2_i10.p1	Sama_DN10966_c0_g1_i1.p1
OG0002872	Shad_tr17386_c0_g1_i2.p1	Sama_DN12_c1_g1_i1.p1
OG0002873	Shad_tr12391_c0_g1_i8.p1	Sama_DN9886_c0_g1_i2.p1
OG0002874	Shad_tr1517_c0_g1_i249.p1	Sama_DN3665_c0_g1_i9.p1
OG0002875	Shad_tr11761_c0_g1_i1.p1	Sama_DN3905_c0_g1_i1.p1
OG0002876	Shad_tr13342_c0_g1_i1.p1	Sama_DN5569_c0_g1_i1.p1
OG0002877	Shad_tr1503_c0_g1_i3.p1	Sama_DN5744_c0_g1_i1.p1
OG0002879	Shad_tr1949_c0_g1_i3.p1	Sama_DN4605_c0_g1_i2.p1
OG0002880	Shad_tr6462_c0_g2_i1.p1, Shad_tr9429_c0_g1_i4.p1	Sama_DN2841_c0_g1_i2.p1
OG0002881	Shad_tr29876_c0_g1_i2.p1	Sama_DN13179_c0_g1_i1.p1
OG0002882	Shad_tr2916_c7_g1_i4.p1, Shad_tr35936_c4_g1_i1.p1	Sama_DN10814_c0_g1_i1.p1
OG0002883	Shad_tr6104_c0_g1_i1.p1	Sama_DN3154_c0_g1_i1.p1
OG0002884	Shad_tr7185_c2_g1_i3.p1	Sama_DN3316_c0_g1_i1.p1
OG0002885	Shad_tr1497_c0_g1_i2.p1	Sama_DN4194_c0_g1_i3.p1
OG0002886	Shad_tr13495_c0_g1_i12.p1	Sama_DN5148_c0_g2_i2.p1
OG0002887	Shad_tr34615_c0_g1_i1.p1, Shad_tr1981_c0_g2_i1.p1	Sama_DN2310_c1_g1_i2.p1
OG0002888	Shad_tr5350_c0_g1_i1.p1	Sama_DN3295_c0_g1_i1.p1
OG0002889	Shad_tr36726_c0_g4_i2.p1, Shad_tr11924_c0_g1_i7.p1	Sama_DN7647_c0_g1_i1.p1
OG0002890	Shad_tr10413_c0_g1_i19.p1	Sama_DN7175_c0_g2_i1.p1, Sama_DN7175_c0_g1_i1.p1
OG0002891	Shad_tr4541_c0_g1_i9.p1	Sama_DN938_c0_g1_i3.p1
OG0002892	Shad_tr41838_c0_g1_i2.p1	Sama_DN12401_c0_g1_i1.p1, Sama_DN14015_c0_g1_i1.p1, Sama_DN12274_c0_g1_i1.p1
OG0002893	Shad_tr14856_c2_g1_i1.p1	Sama_DN6_c0_g1_i5.p1
OG0002894	Shad_tr7726_c0_g1_i4.p1	Sama_DN11936_c0_g1_i1.p1, Sama_DN9463_c0_g1_i1.p1
OG0002895	Shad_tr4113_c0_g1_i2.p1, Shad_tr309_c7_g1_i1.p1	Sama_DN4958_c0_g1_i2.p1
OG0002896	Shad_tr17185_c0_g1_i2.p1	Sama_DN9085_c0_g1_i1.p1
OG0002897	Shad_tr5695_c1_g1_i1.p1	Sama_DN11610_c0_g1_i1.p1, Sama_DN13728_c0_g1_i1.p1
OG0002898	Shad_tr50587_c0_g1_i2.p1	Sama_DN6941_c0_g1_i1.p1, Sama_DN7590_c0_g1_i1.p1
OG0002900	Shad_tr10160_c2_g1_i1.p1	Sama_DN4841_c0_g2_i1.p1
OG0002901	Shad_tr5354_c0_g2_i1.p1	Sama_DN4862_c0_g1_i1.p1
OG0002903	Shad_tr38283_c0_g1_i2.p1	Sama_DN2349_c0_g1_i2.p1
OG0002904	Shad_tr4152_c0_g1_i10.p1, Shad_tr28004_c0_g1_i2.p1	Sama_DN13319_c0_g1_i1.p1
OG0002905	Shad_tr10609_c1_g1_i9.p1	Sama_DN5019_c0_g1_i1.p1, Sama_DN8863_c0_g2_i1.p1
OG0002907	Shad_tr59512_c1_g1_i18.p1	Sama_DN4165_c0_g1_i1.p1
OG0002909	Shad_tr3825_c1_g1_i23.p1	Sama_DN1245_c0_g2_i1.p1
OG0002910	Shad_tr1221_c0_g2_i14.p1	Sama_DN1001_c0_g1_i2.p1
OG0002912	Shad_tr14299_c0_g1_i18.p1	Sama_DN7197_c0_g2_i1.p1
OG0002913	Shad_tr7426_c0_g1_i7.p1	Sama_DN988_c0_g1_i1.p1
OG0002914	Shad_tr25323_c0_g1_i2.p1, Shad_tr388_c13_g1_i2.p1	Sama_DN6586_c0_g1_i1.p1, Sama_DN13005_c0_g1_i1.p1, Sama_DN3153_c0_g1_i2.p1
OG0002915	Shad_tr11944_c0_g1_i2.p1	Sama_DN10977_c0_g1_i1.p1
OG0002916	Shad_tr27783_c0_g1_i6.p1	Sama_DN7512_c0_g1_i1.p1
OG0002917	Shad_tr5006_c0_g2_i1.p1	Sama_DN1281_c0_g1_i1.p1
OG0002919	Shad_tr28026_c0_g1_i11.p1	Sama_DN8632_c0_g2_i1.p1, Sama_DN10561_c0_g1_i1.p1, Sama_DN10561_c0_g2_i1.p2
OG0002920	Shad_tr11758_c1_g2_i1.p1, Shad_tr31378_c0_g2_i1.p1	Sama_DN5_c0_g1_i1.p1
OG0002921	Shad_tr21730_c0_g1_i11.p1	Sama_DN1847_c0_g1_i2.p1
OG0002922	Shad_tr16880_c0_g1_i6.p1	Sama_DN2953_c0_g1_i1.p1
OG0002923	Shad_tr5019_c0_g1_i5.p1	Sama_DN11655_c0_g1_i1.p1
OG0002924	Shad_tr50947_c1_g1_i1.p1	Sama_DN4361_c0_g1_i2.p1
OG0002926	Shad_tr47447_c0_g1_i11.p1	Sama_DN4272_c0_g2_i1.p1
OG0002927	Shad_tr24452_c0_g1_i1.p1	Sama_DN1953_c0_g1_i1.p1
OG0002928	Shad_tr34057_c1_g3_i4.p1	Sama_DN1227_c1_g1_i1.p1
OG0002929	Shad_tr4471_c0_g2_i3.p1	Sama_DN4119_c0_g1_i2.p1
OG0002930	Shad_tr2783_c0_g1_i6.p1	Sama_DN1699_c0_g1_i2.p1
OG0002932	Shad_tr20208_c1_g1_i7.p1	Sama_DN4931_c0_g1_i3.p1
OG0002933	Shad_tr3931_c0_g1_i15.p1	Sama_DN5637_c1_g4_i1.p1
OG0002934	Shad_tr44440_c0_g1_i2.p1	Sama_DN3732_c0_g1_i1.p1, Sama_DN8629_c0_g1_i1.p1
OG0002935	Shad_tr5661_c0_g2_i3.p1, Shad_tr11443_c0_g1_i1.p1, Shad_tr2407_c0_g1_i5.p1	Sama_DN13001_c0_g1_i1.p1
OG0002936	Shad_tr6098_c0_g1_i14.p1	Sama_DN4312_c0_g1_i6.p1
OG0002937	Shad_tr11367_c0_g1_i1.p1	Sama_DN5073_c0_g1_i1.p1
OG0002941	Shad_tr10331_c2_g1_i1.p1, Shad_tr69385_c0_g1_i1.p1	Sama_DN3829_c0_g1_i1.p1
OG0002943	Shad_tr34185_c0_g1_i1.p1	Sama_DN3253_c0_g1_i1.p1
OG0002944	Shad_tr1924_c0_g1_i5.p1	Sama_DN5478_c0_g1_i2.p1
OG0002945	Shad_tr18979_c0_g1_i8.p1	Sama_DN2885_c0_g1_i1.p1
OG0002947	Shad_tr35734_c0_g1_i2.p1	Sama_DN4711_c0_g1_i2.p1
OG0002948	Shad_tr50349_c0_g3_i6.p1	Sama_DN2881_c0_g1_i1.p1
OG0002949	Shad_tr40590_c0_g1_i1.p1	Sama_DN7607_c0_g2_i1.p1, Sama_DN1709_c0_g1_i1.p1
OG0002951	Shad_tr35235_c0_g1_i4.p1	Sama_DN5419_c0_g1_i1.p1
OG0002952	Shad_tr32910_c0_g2_i1.p1, Shad_tr1062_c0_g1_i2.p1	Sama_DN4247_c0_g1_i1.p1
OG0002953	Shad_tr11202_c0_g1_i5.p1	Sama_DN13119_c0_g1_i1.p1
OG0002954	Shad_tr9658_c0_g1_i3.p1	Sama_DN2650_c0_g1_i2.p1
OG0002955	Shad_tr10483_c2_g1_i7.p1	Sama_DN187_c0_g1_i1.p1
OG0002957	Shad_tr3388_c1_g1_i4.p1	Sama_DN4849_c0_g1_i1.p1
OG0002958	Shad_tr69781_c0_g1_i2.p1, Shad_tr7335_c2_g1_i3.p1	Sama_DN822_c0_g1_i2.p1
OG0002960	Shad_tr14098_c0_g1_i16.p1	Sama_DN5900_c0_g1_i1.p1
OG0002961	Shad_tr12843_c0_g1_i7.p1	Sama_DN3530_c0_g1_i1.p1
OG0002962	Shad_tr105598_c0_g1_i1.p1	Sama_DN8020_c0_g3_i1.p1
OG0002962	Shad_tr30627_c1_g3_i2.p1	Sama_DN8020_c0_g1_i1.p1
OG0002964	Shad_tr1669_c1_g1_i1.p1, Shad_tr1669_c1_g2_i1.p1	Sama_DN6566_c0_g1_i2.p1
OG0002965	Shad_tr32341_c2_g2_i5.p1	Sama_DN8887_c0_g1_i1.p1
OG0002966	Shad_tr4720_c0_g1_i7.p1	Sama_DN4114_c0_g1_i1.p1
OG0002967	Shad_tr13103_c0_g2_i1.p1	Sama_DN5241_c0_g2_i1.p1, Sama_DN5241_c0_g1_i1.p1
OG0002969	Shad_tr24286_c0_g1_i2.p1	Sama_DN5334_c0_g2_i1.p1
