Orthogroup	Stichodactyla_haddoni_longest_pep	Hydra_vulgaris_longest_pep
OG0001439	Shad_tr34474_c0_g1_i1.p1	Hyva_DN16206_c0_g1_i6.p1
OG0001443	Shad_tr2050_c1_g1_i7.p1	Hyva_DN11165_c0_g1_i2.p1
OG0001447	Shad_tr309_c0_g3_i1.p1, Shad_tr7713_c0_g1_i10.p1	Hyva_DN11301_c0_g2_i5.p1
OG0001448	Shad_tr1002_c0_g1_i3.p1, Shad_tr9677_c0_g2_i3.p1	Hyva_DN3308_c0_g1_i3.p1
OG0001455	Shad_tr26786_c0_g1_i1.p1, Shad_tr275_c0_g2_i1.p1	Hyva_DN15792_c0_g1_i1.p1
OG0001458	Shad_tr76103_c0_g1_i1.p1, Shad_tr10380_c1_g2_i1.p1, Shad_tr10380_c1_g1_i4.p1	Hyva_DN8249_c0_g1_i2.p1
OG0001459	Shad_tr12099_c0_g1_i7.p1	Hyva_DN5869_c0_g1_i2.p1, Hyva_DN5869_c0_g2_i1.p1
OG0001460	Shad_tr19262_c0_g1_i3.p1	Hyva_DN19708_c0_g3_i1.p1, Hyva_DN19708_c0_g4_i1.p1
OG0001461	Shad_tr75370_c0_g1_i1.p1, Shad_tr18499_c0_g5_i1.p1, Shad_tr18499_c0_g1_i4.p1, Shad_tr38140_c0_g1_i1.p1, Shad_tr18499_c0_g4_i1.p1	Hyva_DN3958_c0_g1_i1.p1
OG0001462	Shad_tr102310_c0_g1_i1.p1, Shad_tr25149_c0_g2_i1.p1, Shad_tr25149_c0_g1_i2.p1	Hyva_DN10035_c0_g1_i1.p1
OG0001463	Shad_tr28214_c0_g1_i3.p1, Shad_tr26758_c0_g1_i1.p1, Shad_tr24824_c0_g1_i1.p1, Shad_tr21477_c0_g1_i1.p1	Hyva_DN19616_c0_g2_i1.p1
OG0001464	Shad_tr26222_c0_g1_i1.p1	Hyva_DN37703_c0_g1_i1.p1, Hyva_DN36713_c0_g1_i1.p1, Hyva_DN34720_c0_g1_i1.p1
OG0001464	Shad_tr515_c8_g1_i1.p1	Hyva_DN24002_c0_g1_i1.p1
OG0001465	Shad_tr16506_c2_g1_i4.p1, Shad_tr10548_c0_g1_i2.p1	Hyva_DN13419_c0_g1_i1.p1
OG0001467	Shad_tr14222_c1_g1_i6.p1	Hyva_DN9460_c0_g1_i3.p1
OG0001468	Shad_tr1821_c9_g1_i1.p1	Hyva_DN2609_c0_g1_i4.p1
OG0001468	Shad_tr21482_c1_g1_i5.p1	Hyva_DN5935_c0_g1_i2.p1
OG0001469	Shad_tr13781_c0_g2_i17.p1	Hyva_DN7918_c0_g1_i1.p1
OG0001469	Shad_tr13781_c0_g1_i1.p1	Hyva_DN19602_c0_g1_i1.p1
OG0001470	Shad_tr50652_c0_g1_i7.p1, Shad_tr20928_c0_g1_i3.p1	Hyva_DN5826_c0_g1_i5.p1
OG0001472	Shad_tr40522_c1_g1_i1.p1, Shad_tr30108_c0_g1_i2.p1	Hyva_DN505_c0_g1_i2.p1, Hyva_DN505_c0_g2_i1.p1
OG0001474	Shad_tr13422_c1_g1_i2.p1, Shad_tr195_c0_g2_i1.p1	Hyva_DN957_c0_g1_i2.p1
OG0001475	Shad_tr1962_c0_g1_i2.p2	Hyva_DN10739_c0_g1_i1.p1
OG0001479	Shad_tr43767_c0_g2_i1.p1, Shad_tr50494_c0_g2_i1.p1	Hyva_DN6265_c0_g3_i3.p1
OG0001482	Shad_tr38899_c1_g1_i1.p1, Shad_tr24624_c0_g1_i11.p1, Shad_tr46808_c0_g1_i1.p1	Hyva_DN20711_c0_g1_i2.p1
OG0001483	Shad_tr4421_c0_g1_i30.p1	Hyva_DN32627_c0_g1_i1.p1
OG0001484	Shad_tr19699_c0_g1_i1.p1, Shad_tr12867_c0_g1_i2.p1	Hyva_DN15532_c0_g1_i1.p1
OG0001485	Shad_tr14671_c0_g1_i1.p1	Hyva_DN4347_c0_g1_i8.p1, Hyva_DN4347_c0_g2_i1.p1, Hyva_DN13600_c1_g1_i2.p1
OG0001493	Shad_tr68470_c0_g1_i1.p1	Hyva_DN10190_c1_g1_i1.p1
OG0001494	Shad_tr9943_c1_g1_i4.p1	Hyva_DN10436_c0_g4_i7.p1, Hyva_DN10436_c0_g1_i1.p1, Hyva_DN10436_c0_g2_i1.p1, Hyva_DN8445_c0_g1_i1.p1, Hyva_DN15105_c1_g1_i1.p1
OG0001496	Shad_tr15747_c0_g1_i2.p1, Shad_tr20048_c0_g4_i1.p1	Hyva_DN4548_c0_g2_i4.p1
OG0001498	Shad_tr1510_c1_g1_i1.p1	Hyva_DN34594_c0_g1_i1.p2
OG0001499	Shad_tr20304_c0_g1_i1.p1, Shad_tr49493_c0_g1_i1.p1	Hyva_DN9077_c0_g1_i1.p1
OG0001503	Shad_tr25204_c0_g2_i1.p1, Shad_tr5_c2_g1_i1.p1, Shad_tr25204_c0_g1_i2.p1	Hyva_DN350_c1_g1_i2.p1
OG0001506	Shad_tr12830_c0_g1_i1.p1	Hyva_DN26029_c0_g1_i1.p1, Hyva_DN32860_c0_g1_i1.p1, Hyva_DN25046_c0_g1_i1.p1, Hyva_DN13414_c0_g1_i1.p1
OG0001507	Shad_tr4517_c0_g1_i2.p1	Hyva_DN2122_c0_g1_i1.p1
OG0001509	Shad_tr1593_c2_g1_i1.p1	Hyva_DN2446_c0_g1_i4.p1, Hyva_DN19126_c0_g1_i1.p1, Hyva_DN19126_c0_g2_i1.p1, Hyva_DN7948_c0_g1_i1.p1
OG0001510	Shad_tr8070_c0_g1_i2.p1	Hyva_DN9294_c0_g1_i2.p1, Hyva_DN9294_c0_g2_i1.p1
OG0001512	Shad_tr9094_c0_g1_i10.p1	Hyva_DN8971_c0_g2_i1.p1, Hyva_DN8971_c0_g1_i1.p1
OG0001513	Shad_tr4746_c0_g1_i42.p1	Hyva_DN11640_c0_g1_i4.p1
OG0001514	Shad_tr843_c7_g1_i9.p1	Hyva_DN1927_c0_g1_i1.p1
OG0001516	Shad_tr10718_c0_g1_i2.p1	Hyva_DN9773_c0_g1_i1.p1
OG0001517	Shad_tr4400_c5_g1_i1.p1	Hyva_DN8779_c0_g1_i2.p1
OG0001519	Shad_tr1614_c1_g1_i1.p1	Hyva_DN8077_c0_g1_i5.p1
OG0001521	Shad_tr61201_c0_g1_i1.p1	Hyva_DN29652_c0_g3_i1.p1
OG0001522	Shad_tr43806_c0_g1_i1.p1, Shad_tr4136_c3_g1_i4.p1	Hyva_DN5268_c0_g1_i5.p1
OG0001523	Shad_tr3966_c0_g2_i4.p1, Shad_tr8525_c1_g2_i2.p1, Shad_tr32486_c0_g1_i6.p1	Hyva_DN1411_c0_g1_i2.p1
OG0001524	Shad_tr19732_c0_g1_i7.p1	Hyva_DN6606_c0_g1_i2.p1, Hyva_DN14327_c0_g1_i1.p1
OG0001525	Shad_tr656_c12_g1_i1.p1	Hyva_DN15583_c0_g3_i1.p1, Hyva_DN15583_c0_g1_i1.p1
OG0001525	Shad_tr27791_c1_g1_i3.p1	Hyva_DN15583_c0_g2_i1.p1
OG0001526	Shad_tr8353_c2_g1_i2.p1	Hyva_DN11940_c0_g1_i5.p1
OG0001531	Shad_tr28657_c0_g1_i2.p1, Shad_tr1744_c2_g1_i6.p1	Hyva_DN6824_c0_g1_i2.p1, Hyva_DN10910_c0_g1_i1.p1, Hyva_DN26731_c0_g1_i1.p1
OG0001533	Shad_tr21344_c0_g1_i1.p1, Shad_tr39463_c0_g1_i9.p1	Hyva_DN2263_c0_g1_i1.p1, Hyva_DN3888_c0_g1_i2.p1, Hyva_DN9403_c0_g2_i3.p1
OG0001534	Shad_tr11225_c1_g2_i1.p1, Shad_tr8597_c0_g1_i2.p1	Hyva_DN18742_c0_g1_i1.p1
OG0001536	Shad_tr13603_c0_g1_i2.p1, Shad_tr4551_c1_g1_i19.p1	Hyva_DN16609_c0_g1_i1.p1, Hyva_DN5019_c0_g1_i11.p1, Hyva_DN10841_c0_g1_i2.p1
OG0001538	Shad_tr6210_c0_g1_i15.p1	Hyva_DN9229_c0_g1_i1.p1
OG0001541	Shad_tr27173_c0_g1_i1.p1, Shad_tr27173_c0_g2_i2.p1	Hyva_DN23541_c0_g1_i2.p1
OG0001543	Shad_tr73_c11_g1_i2.p1, Shad_tr9806_c2_g1_i12.p1	Hyva_DN17379_c0_g1_i2.p1
OG0001544	Shad_tr59057_c1_g1_i5.p1, Shad_tr7200_c0_g1_i4.p1	Hyva_DN9006_c0_g1_i1.p1
OG0001547	Shad_tr87681_c0_g1_i1.p1	Hyva_DN10754_c0_g1_i1.p1
OG0001548	Shad_tr8716_c0_g1_i14.p1	Hyva_DN4838_c0_g1_i3.p1, Hyva_DN4838_c0_g2_i2.p1
OG0001549	Shad_tr55607_c0_g1_i1.p1, Shad_tr659_c2_g1_i1.p1, Shad_tr71566_c0_g1_i1.p1	Hyva_DN15412_c0_g2_i2.p2
OG0001551	Shad_tr3770_c0_g1_i7.p1, Shad_tr9485_c0_g1_i42.p1	Hyva_DN1909_c0_g1_i1.p1
OG0001553	Shad_tr4391_c0_g3_i4.p1	Hyva_DN11580_c0_g1_i1.p1
OG0001554	Shad_tr13317_c0_g1_i2.p1, Shad_tr67799_c0_g1_i1.p1	Hyva_DN8245_c0_g1_i4.p1
OG0001557	Shad_tr3370_c1_g1_i2.p1	Hyva_DN179_c0_g1_i3.p1
OG0001558	Shad_tr4959_c0_g1_i1.p1, Shad_tr66395_c0_g1_i1.p1	Hyva_DN28215_c0_g1_i1.p1
OG0001560	Shad_tr451_c4_g2_i1.p1, Shad_tr4566_c0_g1_i1.p1	Hyva_DN1132_c0_g1_i13.p1
OG0001561	Shad_tr17385_c0_g1_i1.p1, Shad_tr39066_c1_g2_i1.p1	Hyva_DN2647_c0_g1_i1.p1
OG0001567	Shad_tr1933_c1_g1_i1.p1	Hyva_DN6068_c0_g3_i2.p1
OG0001571	Shad_tr8919_c0_g1_i1.p1, Shad_tr99522_c0_g1_i1.p1, Shad_tr27647_c0_g1_i1.p1	Hyva_DN1248_c0_g1_i1.p1
OG0001572	Shad_tr26_c0_g1_i1.p1	Hyva_DN8339_c0_g1_i1.p2
OG0001573	Shad_tr324_c14_g1_i1.p1, Shad_tr41757_c0_g1_i1.p1, Shad_tr22671_c0_g1_i1.p1	Hyva_DN10111_c0_g2_i1.p1, Hyva_DN15537_c0_g2_i3.p1
OG0001574	Shad_tr35209_c2_g1_i1.p1, Shad_tr25852_c0_g2_i2.p1	Hyva_DN25382_c0_g1_i3.p1
OG0001574	Shad_tr47990_c0_g2_i1.p1	Hyva_DN19995_c0_g2_i1.p1
OG0001576	Shad_tr48508_c0_g2_i1.p1, Shad_tr12622_c1_g2_i1.p1, Shad_tr12622_c0_g5_i1.p1, Shad_tr25049_c0_g1_i1.p1, Shad_tr45718_c0_g1_i1.p1	Hyva_DN22170_c0_g1_i1.p1, Hyva_DN20450_c0_g3_i1.p1
OG0001579	Shad_tr1532_c0_g1_i2.p1	Hyva_DN15097_c0_g1_i1.p1
OG0001581	Shad_tr4984_c0_g2_i1.p1	Hyva_DN25163_c0_g1_i1.p1, Hyva_DN25163_c0_g6_i1.p1
OG0001586	Shad_tr17157_c4_g1_i1.p1	Hyva_DN11156_c0_g2_i1.p1
OG0001587	Shad_tr15643_c0_g1_i2.p1	Hyva_DN19454_c0_g1_i1.p1
OG0001589	Shad_tr9435_c2_g3_i2.p1	Hyva_DN11433_c0_g1_i2.p1, Hyva_DN6865_c0_g1_i3.p1
OG0001590	Shad_tr58387_c0_g1_i1.p1	Hyva_DN13850_c0_g1_i1.p1
OG0001591	Shad_tr1344_c19_g1_i2.p1	Hyva_DN16228_c0_g1_i1.p1
OG0001594	Shad_tr5492_c1_g1_i4.p1	Hyva_DN23806_c0_g1_i2.p1
OG0001596	Shad_tr627_c1_g1_i1.p1	Hyva_DN25937_c0_g1_i2.p1
OG0001597	Shad_tr91782_c0_g1_i1.p1	Hyva_DN27799_c0_g1_i3.p1
OG0001601	Shad_tr497_c0_g1_i5.p1	Hyva_DN7038_c0_g1_i3.p1, Hyva_DN160_c0_g2_i1.p1, Hyva_DN160_c0_g1_i3.p1
OG0001604	Shad_tr5227_c0_g1_i1.p1	Hyva_DN38497_c0_g1_i1.p1, Hyva_DN32195_c0_g2_i1.p1, Hyva_DN26757_c0_g1_i1.p1, Hyva_DN5968_c0_g1_i4.p1, Hyva_DN32195_c0_g1_i1.p1, Hyva_DN17769_c0_g1_i1.p1
OG0001606	Shad_tr2399_c0_g2_i1.p1, Shad_tr309_c2_g1_i2.p1, Shad_tr2399_c0_g1_i4.p1	Hyva_DN366_c1_g1_i2.p1
OG0001608	Shad_tr88127_c0_g1_i2.p1	Hyva_DN7903_c0_g1_i7.p1
OG0001609	Shad_tr6854_c0_g1_i3.p1, Shad_tr8828_c2_g1_i1.p1, Shad_tr8828_c0_g1_i2.p1	Hyva_DN6837_c0_g1_i2.p1
OG0001610	Shad_tr10535_c0_g1_i43.p1, Shad_tr16255_c0_g1_i3.p1	Hyva_DN7614_c0_g1_i5.p1
OG0001612	Shad_tr2547_c2_g1_i2.p1	Hyva_DN5522_c0_g1_i2.p1
OG0001614	Shad_tr88018_c0_g1_i1.p1	Hyva_DN7234_c0_g1_i2.p1, Hyva_DN2108_c0_g1_i1.p1
OG0001615	Shad_tr22229_c0_g1_i1.p1, Shad_tr27675_c1_g2_i1.p1	Hyva_DN6705_c0_g1_i2.p1
OG0001617	Shad_tr17305_c0_g1_i1.p1, Shad_tr19154_c0_g1_i3.p2	Hyva_DN23202_c0_g1_i4.p1
OG0001620	Shad_tr33552_c1_g1_i6.p1	Hyva_DN1461_c0_g1_i1.p1
OG0001623	Shad_tr33141_c0_g1_i8.p1, Shad_tr33141_c0_g2_i1.p1	Hyva_DN3450_c0_g1_i3.p1, Hyva_DN2476_c0_g1_i1.p1
OG0001625	Shad_tr18581_c1_g1_i7.p1	Hyva_DN12093_c0_g1_i2.p1
OG0001626	Shad_tr27247_c3_g1_i3.p1	Hyva_DN32753_c0_g1_i1.p1
OG0001627	Shad_tr3839_c0_g1_i1.p1, Shad_tr28405_c0_g1_i1.p1	Hyva_DN2993_c0_g1_i4.p1
OG0001629	Shad_tr15603_c3_g1_i7.p1	Hyva_DN672_c0_g1_i1.p1
OG0001636	Shad_tr22344_c0_g1_i6.p1, Shad_tr12944_c0_g1_i3.p1	Hyva_DN6032_c0_g1_i4.p1
OG0001638	Shad_tr4606_c0_g1_i19.p1, Shad_tr6299_c2_g1_i9.p1	Hyva_DN4601_c0_g3_i1.p1, Hyva_DN948_c1_g2_i2.p1, Hyva_DN15448_c0_g1_i1.p1
OG0001640	Shad_tr805_c0_g2_i2.p1, Shad_tr94447_c0_g1_i1.p1	Hyva_DN8614_c0_g1_i1.p1, Hyva_DN6259_c0_g1_i3.p1
OG0001641	Shad_tr48309_c0_g1_i1.p1, Shad_tr37501_c0_g1_i3.p1	Hyva_DN18016_c0_g1_i1.p1, Hyva_DN3409_c0_g2_i3.p1
OG0001644	Shad_tr783_c0_g3_i1.p1, Shad_tr783_c0_g1_i1.p1	Hyva_DN1079_c0_g2_i1.p1
OG0001645	Shad_tr101530_c0_g1_i2.p1, Shad_tr25223_c0_g2_i1.p1, Shad_tr25223_c0_g1_i1.p1	Hyva_DN23748_c0_g1_i1.p1, Hyva_DN4265_c0_g1_i2.p1
OG0001651	Shad_tr16938_c0_g1_i2.p1, Shad_tr27424_c0_g1_i3.p1	Hyva_DN16527_c0_g2_i2.p1
OG0001653	Shad_tr49224_c0_g1_i1.p1	Hyva_DN33102_c0_g1_i1.p1, Hyva_DN17678_c0_g1_i2.p1, Hyva_DN8208_c0_g1_i4.p1, Hyva_DN8934_c0_g2_i6.p1, Hyva_DN11759_c0_g2_i11.p1
OG0001654	Shad_tr109043_c0_g1_i1.p1, Shad_tr6026_c4_g1_i6.p1, Shad_tr5666_c0_g1_i10.p1, Shad_tr17171_c0_g1_i5.p1	Hyva_DN27551_c0_g3_i1.p1, Hyva_DN12323_c0_g1_i1.p1
OG0001655	Shad_tr40389_c0_g1_i1.p1	Hyva_DN38207_c0_g1_i1.p1
OG0001657	Shad_tr36052_c0_g1_i1.p1, Shad_tr3570_c2_g1_i1.p1	Hyva_DN12882_c0_g1_i3.p1
OG0001659	Shad_tr86_c1_g1_i3.p1, Shad_tr73048_c0_g1_i1.p1	Hyva_DN2718_c1_g2_i4.p1
OG0001660	Shad_tr7403_c1_g1_i1.p1	Hyva_DN16789_c0_g1_i1.p1
OG0001661	Shad_tr104158_c0_g1_i1.p1	Hyva_DN20414_c0_g1_i1.p1
OG0001662	Shad_tr10641_c4_g1_i6.p1, Shad_tr6065_c0_g1_i11.p1, Shad_tr5727_c1_g1_i2.p1	Hyva_DN21846_c0_g2_i1.p1, Hyva_DN38241_c0_g1_i1.p1
OG0001665	Shad_tr13272_c1_g1_i2.p1, Shad_tr17097_c0_g1_i1.p1, Shad_tr9348_c0_g1_i15.p1	Hyva_DN5455_c0_g1_i1.p1
OG0001669	Shad_tr38797_c0_g4_i1.p1	Hyva_DN17771_c0_g2_i1.p1, Hyva_DN37976_c0_g1_i1.p1, Hyva_DN31023_c0_g1_i1.p1
OG0001675	Shad_tr1119_c1_g1_i8.p1, Shad_tr15326_c1_g1_i3.p1, Shad_tr2281_c0_g2_i6.p1	Hyva_DN1727_c0_g1_i1.p1
OG0001677	Shad_tr3966_c3_g1_i1.p1, Shad_tr2164_c0_g2_i11.p1	Hyva_DN722_c0_g2_i2.p1
OG0001678	Shad_tr4069_c0_g1_i5.p1	Hyva_DN5623_c0_g1_i5.p1
OG0001679	Shad_tr7351_c0_g3_i1.p1, Shad_tr7351_c0_g1_i3.p1	Hyva_DN13371_c0_g1_i2.p1
OG0001681	Shad_tr33282_c0_g2_i2.p1, Shad_tr5405_c1_g1_i2.p1	Hyva_DN8799_c0_g1_i1.p1
OG0001682	Shad_tr4872_c0_g1_i5.p1	Hyva_DN609_c0_g1_i4.p1
OG0001684	Shad_tr47626_c0_g3_i4.p1	Hyva_DN14408_c0_g2_i1.p1
OG0001685	Shad_tr115027_c0_g1_i1.p1, Shad_tr9601_c0_g1_i1.p1	Hyva_DN2209_c0_g1_i8.p1
OG0001687	Shad_tr33033_c0_g3_i2.p1	Hyva_DN8605_c0_g1_i1.p1
OG0001688	Shad_tr4791_c0_g1_i1.p1	Hyva_DN1097_c0_g1_i3.p1
OG0001689	Shad_tr3183_c2_g1_i3.p1, Shad_tr6700_c9_g1_i1.p1	Hyva_DN19270_c0_g1_i1.p1
OG0001690	Shad_tr48683_c0_g3_i1.p1	Hyva_DN7862_c1_g1_i1.p1
OG0001693	Shad_tr17326_c0_g1_i7.p1	Hyva_DN3607_c0_g2_i2.p1
OG0001694	Shad_tr11565_c0_g1_i4.p1	Hyva_DN6737_c0_g1_i5.p1
OG0001695	Shad_tr6298_c0_g2_i2.p1	Hyva_DN7255_c0_g1_i1.p1
OG0001696	Shad_tr39071_c1_g1_i1.p1	Hyva_DN241_c0_g1_i1.p1
OG0001697	Shad_tr28949_c0_g1_i6.p1	Hyva_DN10429_c0_g2_i1.p1
OG0001698	Shad_tr5897_c0_g1_i9.p1	Hyva_DN3534_c0_g1_i3.p1
OG0001699	Shad_tr67151_c0_g1_i1.p1, Shad_tr31450_c0_g1_i1.p1	Hyva_DN13807_c0_g1_i1.p1
OG0001700	Shad_tr81286_c0_g1_i1.p1	Hyva_DN8570_c0_g1_i4.p1
OG0001701	Shad_tr28470_c0_g1_i5.p1	Hyva_DN5055_c0_g1_i3.p1, Hyva_DN3156_c0_g1_i5.p1, Hyva_DN39589_c0_g1_i1.p1
OG0001705	Shad_tr27571_c1_g1_i1.p1	Hyva_DN12770_c0_g1_i4.p1
OG0001705	Shad_tr55768_c0_g1_i1.p1	Hyva_DN7695_c0_g1_i1.p1, Hyva_DN21041_c0_g3_i1.p1, Hyva_DN13328_c0_g3_i1.p1, Hyva_DN1901_c0_g1_i2.p1, Hyva_DN12251_c0_g1_i1.p1, Hyva_DN13328_c0_g2_i1.p1, Hyva_DN13328_c0_g1_i4.p1, Hyva_DN4761_c0_g1_i3.p1, Hyva_DN1901_c0_g2_i1.p1, Hyva_DN12251_c0_g2_i1.p1, Hyva_DN21041_c0_g1_i1.p1, Hyva_DN1901_c0_g3_i1.p1
OG0001706	Shad_tr57708_c0_g2_i1.p1, Shad_tr57708_c0_g1_i1.p1	Hyva_DN8428_c0_g1_i6.p1
OG0001709	Shad_tr6851_c0_g1_i4.p1	Hyva_DN6170_c0_g1_i5.p1, Hyva_DN13843_c0_g1_i1.p1, Hyva_DN5277_c0_g1_i1.p1, Hyva_DN6624_c0_g2_i1.p1, Hyva_DN13267_c0_g1_i1.p1, Hyva_DN6380_c0_g1_i1.p1, Hyva_DN20616_c0_g2_i3.p1, Hyva_DN13843_c0_g2_i1.p1, Hyva_DN6624_c0_g1_i5.p1, Hyva_DN11405_c0_g1_i1.p1
OG0001710	Shad_tr75000_c0_g1_i1.p1, Shad_tr5871_c1_g1_i4.p1	Hyva_DN15001_c0_g1_i2.p1, Hyva_DN5510_c0_g1_i1.p1
OG0001711	Shad_tr19512_c0_g1_i1.p1, Shad_tr5918_c0_g1_i15.p1	Hyva_DN187_c0_g1_i2.p1
OG0001713	Shad_tr11299_c0_g1_i16.p1	Hyva_DN6303_c0_g1_i6.p1
OG0001714	Shad_tr3973_c0_g2_i2.p1	Hyva_DN6995_c0_g1_i5.p1
OG0001717	Shad_tr15907_c1_g1_i6.p1	Hyva_DN10028_c0_g1_i1.p1
OG0001720	Shad_tr6550_c0_g1_i2.p1, Shad_tr50290_c0_g1_i1.p1, Shad_tr2718_c2_g1_i1.p1	Hyva_DN1867_c0_g1_i5.p1
OG0001721	Shad_tr31371_c0_g1_i4.p1, Shad_tr65071_c0_g1_i1.p1	Hyva_DN8427_c0_g1_i6.p1
OG0001724	Shad_tr42338_c0_g1_i1.p1, Shad_tr53284_c0_g1_i16.p1	Hyva_DN4981_c0_g1_i4.p1
OG0001729	Shad_tr13295_c0_g4_i1.p1, Shad_tr13295_c0_g1_i6.p1, Shad_tr17924_c0_g1_i2.p1	Hyva_DN31288_c0_g1_i1.p1, Hyva_DN2580_c0_g1_i1.p1
OG0001732	Shad_tr22109_c0_g1_i1.p1, Shad_tr95864_c0_g1_i1.p1	Hyva_DN3873_c0_g1_i7.p1
OG0001733	Shad_tr19539_c0_g1_i5.p1	Hyva_DN9150_c0_g1_i1.p1, Hyva_DN22151_c0_g1_i1.p1
OG0001735	Shad_tr50698_c0_g2_i1.p1, Shad_tr35002_c0_g1_i1.p1, Shad_tr3451_c0_g4_i1.p1, Shad_tr50698_c0_g1_i3.p1, Shad_tr1639_c3_g1_i16.p1	Hyva_DN13507_c0_g1_i1.p1
OG0001736	Shad_tr3785_c0_g1_i1.p1	Hyva_DN7955_c0_g1_i6.p1
OG0001741	Shad_tr16260_c1_g1_i1.p1, Shad_tr1689_c2_g1_i10.p1, Shad_tr6834_c0_g1_i1.p1	Hyva_DN1644_c0_g1_i1.p1
OG0001742	Shad_tr17919_c0_g2_i3.p1	Hyva_DN4126_c0_g2_i2.p1, Hyva_DN9920_c0_g1_i1.p1, Hyva_DN1614_c0_g1_i2.p1, Hyva_DN9920_c1_g1_i1.p1, Hyva_DN6857_c0_g1_i2.p1, Hyva_DN36691_c0_g1_i1.p1, Hyva_DN9920_c2_g1_i1.p1, Hyva_DN1487_c0_g1_i18.p1, Hyva_DN11932_c0_g1_i1.p1, Hyva_DN7516_c0_g1_i9.p1, Hyva_DN7516_c1_g1_i3.p1, Hyva_DN11629_c0_g2_i5.p1, Hyva_DN9104_c0_g2_i5.p1, Hyva_DN12637_c0_g1_i6.p1, Hyva_DN13641_c0_g1_i1.p1, Hyva_DN9592_c0_g1_i2.p1
OG0001744	Shad_tr2528_c1_g1_i1.p1	Hyva_DN2636_c0_g2_i2.p1, Hyva_DN1419_c0_g1_i7.p1
OG0001745	Shad_tr206_c0_g1_i5.p1, Shad_tr991_c0_g1_i1.p1	Hyva_DN24_c0_g1_i1.p1, Hyva_DN445_c0_g1_i5.p1
OG0001746	Shad_tr5596_c1_g1_i2.p1, Shad_tr12390_c1_g1_i1.p1	Hyva_DN2314_c0_g1_i1.p1
OG0001749	Shad_tr21580_c0_g1_i14.p1, Shad_tr10193_c0_g1_i8.p1	Hyva_DN8539_c0_g1_i1.p1, Hyva_DN2454_c0_g1_i2.p1
OG0001750	Shad_tr14263_c0_g1_i8.p1	Hyva_DN4214_c0_g1_i3.p1
OG0001752	Shad_tr4514_c1_g3_i1.p1	Hyva_DN3927_c0_g1_i2.p1
OG0001752	Shad_tr14223_c0_g1_i1.p1	Hyva_DN17404_c0_g1_i2.p1
OG0001754	Shad_tr36663_c1_g2_i5.p1	Hyva_DN18795_c0_g1_i1.p1
OG0001757	Shad_tr36056_c0_g1_i1.p1, Shad_tr48087_c0_g1_i1.p1	Hyva_DN8027_c0_g1_i10.p1
OG0001758	Shad_tr52254_c0_g2_i1.p1, Shad_tr52254_c0_g1_i1.p1, Shad_tr11_c0_g1_i1.p1	Hyva_DN6668_c0_g1_i1.p1
OG0001759	Shad_tr9986_c0_g1_i1.p1, Shad_tr31940_c0_g1_i5.p1	Hyva_DN8088_c0_g1_i3.p1
OG0001760	Shad_tr13315_c0_g2_i1.p1, Shad_tr444_c0_g1_i1.p1	Hyva_DN33859_c0_g1_i1.p1, Hyva_DN297_c0_g1_i1.p1
OG0001761	Shad_tr6776_c0_g1_i1.p1, Shad_tr1767_c0_g3_i1.p1	Hyva_DN694_c0_g1_i3.p1
OG0001764	Shad_tr1821_c29_g1_i1.p1	Hyva_DN8823_c0_g1_i1.p1
OG0001765	Shad_tr70028_c0_g1_i1.p1	Hyva_DN26040_c0_g4_i1.p1
OG0001776	Shad_tr14396_c0_g1_i1.p1	Hyva_DN21492_c0_g1_i1.p1
OG0001777	Shad_tr23806_c0_g1_i2.p1	Hyva_DN24903_c0_g2_i3.p1
OG0001778	Shad_tr847_c4_g1_i1.p1, Shad_tr2788_c4_g1_i1.p1, Shad_tr6351_c0_g1_i2.p1	Hyva_DN18076_c0_g1_i1.p1
OG0001780	Shad_tr11112_c1_g1_i15.p1	Hyva_DN23638_c0_g1_i1.p1, Hyva_DN23638_c0_g2_i1.p1
OG0001782	Shad_tr4521_c0_g1_i10.p1	Hyva_DN5323_c0_g1_i1.p1
OG0001784	Shad_tr16982_c0_g1_i3.p1	Hyva_DN16808_c0_g1_i1.p2
OG0001786	Shad_tr9803_c0_g1_i11.p1	Hyva_DN4619_c0_g1_i5.p1
OG0001787	Shad_tr1905_c0_g2_i9.p1	Hyva_DN5579_c0_g2_i2.p1
OG0001788	Shad_tr5346_c0_g1_i1.p1	Hyva_DN15221_c0_g1_i1.p1
OG0001789	Shad_tr10272_c0_g1_i1.p1	Hyva_DN12059_c0_g1_i3.p1
OG0001791	Shad_tr35236_c0_g1_i3.p1	Hyva_DN18363_c0_g1_i1.p1, Hyva_DN18363_c0_g2_i1.p1
OG0001795	Shad_tr31890_c1_g1_i4.p1, Shad_tr41908_c0_g1_i1.p1	Hyva_DN28375_c0_g1_i1.p1
OG0001796	Shad_tr6838_c0_g1_i25.p1	Hyva_DN21584_c0_g2_i1.p1, Hyva_DN25310_c0_g3_i1.p1
OG0001797	Shad_tr41424_c0_g1_i1.p1, Shad_tr45615_c1_g1_i1.p1	Hyva_DN4291_c0_g1_i3.p1
OG0001798	Shad_tr790_c7_g1_i3.p1	Hyva_DN3896_c0_g1_i1.p1
OG0001799	Shad_tr6115_c0_g2_i1.p1	Hyva_DN8801_c0_g1_i5.p1
