Orthogroup,Stichodactyla_haddoni_longest_pep,Stichidactyla_gigantea_longest_pep,Heteractic_macgnifica_longest_pep,Heteractis_crispa_longest_pep,Stichodactyla_mertensi_longest_pep,Heteractis_aurelias_longest_pep,Entacmea_quadricolor_longest_pep,Heterodactyla_longest_pep,Macrodactyla_doreensis_longest_pep,Oulactis_longest_pep,Actinia_tenebrosa_longest_pep,Galaxea_fascicularis_longest_pep,Anthopleura_dowii_longest_pep,Nematostella_vectensis_longest_pep,Nemopilema_nomurai_longest_pep,Hydra_vulgaris_longest_pep,Sanderia_malayensis_longest_pep,Cyanea_capillata_longest_pep,Chironex_fleckeri_longest_pep,Chrysaora_fuscescens_longest_pep
OG0002905,Shad_tr10609_c1_g1_i9.p1,Sgig_tr6014_c1_g1_i9.p1,Hmag_tr5046_c1_g1_i10.p1,Hcri_tr7211_c0_g1_i3.p1,Smer_tr16316_c0_g1_i7.p1,Haur_tr1274_c1_g1_i1.p1,Equa_tr13182_c0_g2_i6.p1,Hetdac_DN26597_c1_g2_i1.p1,Macdac_DN30064_c0_g1_i3.p1,Oula_DN9113_c0_g1_i3.p1,Acte_DN179_c0_g1_i9.p1,Gafa_DN8965_c0_g1_i4.p1,Ando_DN5027_c0_g1_i1.p1,Neva_DN293_c0_g4_i1.p1,Neno_DN5617_c0_g1_i1.p2,Hyva_DN4534_c0_g1_i2.p1,"Sama_DN5019_c0_g1_i1.p1, Sama_DN8863_c0_g2_i1.p1","Cyca_DN1701_c0_g1_i3.p2, Cyca_DN6369_c0_g2_i2.p1",Chfl_DN4737_c0_g1_i1.p1,Chfu_DN14083_c0_g1_i1.p1
OG0002909,Shad_tr3825_c1_g1_i23.p1,Sgig_tr9958_c0_g1_i19.p1,Hmag_tr1342_c0_g2_i5.p1,Hcri_tr1993_c2_g1_i1.p1,Smer_tr1344_c2_g1_i18.p1,Haur_tr16725_c0_g1_i8.p1,Equa_tr1975_c0_g1_i61.p1,Hetdac_DN5194_c0_g1_i4.p1,Macdac_DN3908_c1_g1_i6.p1,Oula_DN2934_c0_g1_i9.p1,Acte_DN579_c0_g1_i19.p1,Gafa_DN15707_c0_g1_i2.p1,Ando_DN3503_c2_g2_i2.p1,Neva_DN434_c0_g1_i7.p1,Neno_DN2899_c0_g2_i1.p1,Hyva_DN1802_c0_g1_i1.p1,Sama_DN1245_c0_g2_i1.p1,"Cyca_DN20312_c0_g1_i1.p1, Cyca_DN19195_c0_g1_i1.p1",Chfl_DN1497_c0_g1_i3.p1,"Chfu_DN5283_c0_g1_i1.p1, Chfu_DN11818_c0_g1_i1.p1"
OG0002910,Shad_tr1221_c0_g2_i14.p1,Sgig_tr253_c0_g1_i16.p1,Hmag_tr552_c0_g1_i15.p1,Hcri_tr806_c0_g1_i11.p1,Smer_tr3151_c0_g1_i1.p1,Haur_tr470_c0_g1_i4.p1,Equa_tr1073_c0_g1_i15.p1,Hetdac_DN798_c0_g1_i4.p1,Macdac_DN4184_c0_g1_i9.p1,Oula_DN7630_c0_g1_i9.p1,Acte_DN2109_c0_g3_i3.p1,Gafa_DN19929_c0_g1_i2.p1,Ando_DN11227_c0_g1_i2.p1,Neva_DN2889_c0_g1_i4.p1,Neno_DN626_c0_g1_i8.p1,Hyva_DN851_c0_g1_i2.p1,Sama_DN1001_c0_g1_i2.p1,"Cyca_DN7142_c0_g1_i1.p1, Cyca_DN6723_c0_g1_i1.p1",Chfl_DN2573_c1_g2_i7.p1,Chfu_DN16295_c0_g1_i1.p1
OG0002921,Shad_tr21730_c0_g1_i11.p1,Sgig_tr33450_c0_g1_i1.p1,Hmag_tr13587_c1_g1_i10.p1,Hcri_tr14497_c0_g1_i2.p1,Smer_tr21728_c0_g2_i1.p1,Haur_tr5136_c0_g2_i11.p1,Equa_tr8737_c0_g1_i8.p1,Hetdac_DN8881_c0_g1_i2.p1,Macdac_DN9541_c2_g1_i1.p1,Oula_DN5677_c0_g1_i1.p1,Acte_DN12914_c0_g2_i6.p1,Gafa_DN2290_c0_g2_i2.p1,"Ando_DN9164_c0_g3_i1.p1, Ando_DN9164_c0_g2_i2.p1",Neva_DN1987_c0_g1_i5.p1,Neno_DN5038_c0_g1_i3.p1,Hyva_DN5462_c0_g1_i1.p1,Sama_DN1847_c0_g1_i2.p1,Cyca_DN33653_c0_g1_i1.p1,Chfl_DN6017_c0_g2_i1.p1,Chfu_DN16376_c0_g1_i1.p1
OG0002922,Shad_tr16880_c0_g1_i6.p1,Sgig_tr7903_c0_g2_i6.p1,Hmag_tr1665_c0_g1_i3.p1,Hcri_tr2674_c0_g1_i13.p1,Smer_tr5035_c0_g1_i6.p1,Haur_tr10322_c0_g2_i7.p1,Equa_tr16047_c0_g1_i4.p1,Hetdac_DN6396_c0_g1_i1.p1,"Macdac_DN27912_c0_g1_i1.p1, Macdac_DN27912_c0_g2_i1.p1",Oula_DN10974_c0_g1_i8.p1,Acte_DN10481_c0_g1_i4.p1,Gafa_DN17371_c1_g1_i1.p1,Ando_DN7931_c0_g1_i1.p1,Neva_DN33_c0_g1_i7.p1,Neno_DN5250_c0_g1_i6.p1,Hyva_DN4863_c0_g1_i2.p1,Sama_DN2953_c0_g1_i1.p1,"Cyca_DN16351_c0_g1_i1.p1, Cyca_DN32466_c0_g1_i1.p1","Chfl_DN7801_c0_g3_i1.p1, Chfl_DN7801_c0_g1_i1.p1",Chfu_DN16255_c0_g1_i1.p1
OG0002924,Shad_tr50947_c1_g1_i1.p1,Sgig_tr26728_c0_g1_i3.p1,Hmag_tr22055_c0_g1_i1.p1,Hcri_tr15800_c1_g1_i1.p1,Smer_tr10907_c0_g1_i1.p1,Haur_tr5447_c0_g1_i1.p1,Equa_tr1218_c0_g1_i1.p1,Hetdac_DN1988_c0_g1_i1.p1,Macdac_DN3045_c0_g1_i2.p1,Oula_DN2666_c0_g1_i3.p1,Acte_DN711_c1_g1_i3.p1,Gafa_DN55025_c0_g1_i2.p2,Ando_DN18147_c0_g1_i1.p1,"Neva_DN24629_c5_g2_i1.p1, Neva_DN24629_c5_g1_i1.p1",Neno_DN4523_c0_g1_i1.p1,Hyva_DN2130_c0_g1_i3.p1,Sama_DN4361_c0_g1_i2.p1,"Cyca_DN6134_c0_g1_i1.p1, Cyca_DN20969_c0_g2_i1.p1",Chfl_DN5896_c0_g1_i1.p1,Chfu_DN8574_c0_g2_i1.p1
OG0002926,Shad_tr47447_c0_g1_i11.p1,Sgig_tr3234_c2_g1_i2.p1,Hmag_tr718_c0_g2_i1.p1,Hcri_tr425_c1_g1_i2.p1,Smer_tr8476_c1_g1_i1.p1,Haur_tr10819_c0_g1_i3.p1,Equa_tr15209_c0_g1_i38.p1,Hetdac_DN3045_c0_g1_i2.p1,Macdac_DN12442_c0_g1_i5.p1,Oula_DN1634_c1_g1_i3.p1,Acte_DN6994_c0_g1_i14.p1,Gafa_DN41186_c0_g1_i1.p1,Ando_DN12671_c0_g1_i2.p1,Neva_DN1569_c0_g1_i13.p1,Neno_DN11368_c0_g1_i5.p1,Hyva_DN6209_c0_g1_i1.p1,Sama_DN4272_c0_g2_i1.p1,Cyca_DN4951_c0_g1_i2.p1,Chfl_DN2547_c0_g1_i1.p1,"Chfu_DN5267_c0_g1_i1.p1, Chfu_DN5267_c0_g2_i1.p1"
OG0002928,Shad_tr34057_c1_g3_i4.p1,Sgig_tr20249_c2_g2_i1.p1,Hmag_tr2825_c0_g3_i1.p1,Hcri_tr161_c0_g1_i15.p1,Smer_tr24076_c1_g1_i3.p1,Haur_tr29047_c1_g1_i1.p1,Equa_tr26663_c0_g1_i1.p1,Hetdac_DN10670_c0_g1_i4.p1,Macdac_DN20211_c0_g2_i1.p1,Oula_DN2629_c0_g1_i2.p1,Acte_DN6190_c0_g1_i1.p1,Gafa_DN3207_c0_g1_i8.p1,Ando_DN12396_c0_g1_i1.p1,Neva_DN12564_c0_g1_i1.p1,Neno_DN2140_c0_g1_i4.p1,Hyva_DN1248_c0_g2_i2.p1,Sama_DN1227_c1_g1_i1.p1,"Cyca_DN8195_c0_g1_i3.p1, Cyca_DN8195_c0_g3_i1.p1",Chfl_DN3362_c0_g1_i1.p1,"Chfu_DN9448_c0_g2_i1.p1, Chfu_DN9448_c0_g1_i1.p1, Chfu_DN9344_c0_g2_i1.p1"
OG0002934,Shad_tr44440_c0_g1_i2.p1,Sgig_tr12787_c0_g1_i4.p1,Hmag_tr55352_c0_g1_i1.p1,Hcri_tr19981_c1_g2_i2.p1,Smer_tr5751_c1_g1_i6.p1,Haur_tr37277_c0_g1_i2.p1,Equa_tr14606_c0_g1_i5.p1,Hetdac_DN13395_c0_g1_i1.p1,Macdac_DN20897_c0_g1_i1.p2,Oula_DN19238_c0_g1_i2.p1,Acte_DN6718_c0_g2_i2.p1,Gafa_DN16730_c0_g1_i3.p1,Ando_DN25594_c0_g1_i1.p1,Neva_DN847_c0_g1_i13.p1,Neno_DN2066_c0_g1_i4.p1,Hyva_DN15285_c0_g1_i2.p1,"Sama_DN3732_c0_g1_i1.p1, Sama_DN8629_c0_g1_i1.p1","Cyca_DN12338_c0_g1_i1.p1, Cyca_DN14642_c0_g1_i1.p1",Chfl_DN3476_c0_g1_i2.p1,"Chfu_DN8665_c0_g1_i1.p1, Chfu_DN12084_c0_g1_i1.p1"
OG0002943,Shad_tr34185_c0_g1_i1.p1,Sgig_tr16580_c0_g1_i2.p1,Hmag_tr20791_c0_g1_i1.p1,Hcri_tr1574_c3_g1_i1.p1,Smer_tr57768_c0_g1_i1.p1,Haur_tr8030_c0_g2_i1.p1,Equa_tr3569_c1_g1_i13.p1,Hetdac_DN17610_c0_g1_i1.p1,Macdac_DN9803_c0_g2_i1.p1,Oula_DN6074_c0_g1_i1.p1,Acte_DN14942_c0_g1_i2.p1,"Gafa_DN29670_c0_g1_i1.p1, Gafa_DN104236_c0_g1_i3.p1",Ando_DN14975_c0_g1_i1.p1,Neva_DN8696_c0_g1_i1.p1,Neno_DN6455_c0_g1_i1.p1,"Hyva_DN6024_c0_g1_i3.p1, Hyva_DN6036_c0_g1_i2.p1",Sama_DN3253_c0_g1_i1.p1,Cyca_DN11579_c0_g2_i1.p1,Chfl_DN5133_c0_g1_i1.p1,Chfu_DN14088_c0_g1_i1.p1
OG0002944,Shad_tr1924_c0_g1_i5.p1,Sgig_tr1168_c0_g1_i11.p1,Hmag_tr2452_c0_g1_i1.p1,Hcri_tr202_c7_g1_i8.p1,Smer_tr8654_c0_g1_i2.p1,Haur_tr858_c0_g1_i8.p1,Equa_tr3476_c0_g1_i1.p1,Hetdac_DN1428_c0_g1_i2.p1,Macdac_DN2518_c0_g4_i3.p1,Oula_DN1728_c0_g1_i2.p1,Acte_DN11599_c0_g1_i2.p1,Gafa_DN3417_c0_g1_i1.p1,Ando_DN8757_c0_g1_i1.p1,Neva_DN5861_c0_g1_i7.p1,Neno_DN9656_c0_g1_i1.p1,"Hyva_DN6021_c0_g2_i2.p1, Hyva_DN5759_c0_g1_i1.p1, Hyva_DN6021_c0_g1_i1.p1",Sama_DN5478_c0_g1_i2.p1,Cyca_DN8561_c0_g1_i1.p1,Chfl_DN5729_c0_g1_i2.p1,"Chfu_DN15222_c1_g1_i1.p1, Chfu_DN15222_c1_g2_i1.p1"
OG0002945,Shad_tr18979_c0_g1_i8.p1,Sgig_tr22589_c0_g1_i7.p1,Hmag_tr10330_c0_g1_i3.p1,Hcri_tr6609_c0_g1_i15.p1,Smer_tr12136_c0_g1_i3.p1,Haur_tr26385_c0_g1_i9.p1,Equa_tr27904_c2_g1_i1.p1,Hetdac_DN86_c0_g1_i1.p1,Macdac_DN19510_c0_g1_i1.p1,Oula_DN7309_c0_g1_i7.p1,Acte_DN4132_c0_g2_i1.p1,Gafa_DN7577_c2_g3_i2.p1,"Ando_DN6390_c1_g4_i1.p1, Ando_DN12342_c0_g1_i1.p1, Ando_DN12342_c0_g2_i1.p1",Neva_DN7278_c0_g3_i5.p1,Neno_DN8603_c0_g1_i2.p1,Hyva_DN8392_c0_g1_i4.p1,Sama_DN2885_c0_g1_i1.p1,"Cyca_DN19265_c0_g1_i1.p1, Cyca_DN22931_c0_g1_i1.p1",Chfl_DN26716_c0_g1_i1.p1,"Chfu_DN8359_c0_g1_i1.p1, Chfu_DN4771_c0_g2_i1.p1, Chfu_DN4771_c0_g3_i1.p1, Chfu_DN4771_c0_g1_i1.p1"
OG0002948,Shad_tr50349_c0_g3_i6.p1,Sgig_tr10172_c0_g1_i4.p1,Hmag_tr4987_c0_g1_i2.p1,Hcri_tr19106_c0_g1_i4.p1,Smer_tr4980_c1_g1_i2.p1,Haur_tr53425_c0_g1_i5.p1,Equa_tr27948_c0_g1_i1.p1,Hetdac_DN2081_c0_g1_i1.p1,"Macdac_DN26030_c0_g2_i1.p1, Macdac_DN15866_c1_g2_i1.p1",Oula_DN6308_c0_g1_i4.p1,Acte_DN345_c2_g1_i2.p1,Gafa_DN41695_c0_g2_i6.p1,Ando_DN7656_c0_g1_i1.p1,Neva_DN908_c0_g1_i6.p1,Neno_DN1768_c0_g1_i7.p1,Hyva_DN1360_c0_g1_i1.p1,Sama_DN2881_c0_g1_i1.p1,"Cyca_DN31407_c0_g1_i1.p1, Cyca_DN11747_c0_g1_i1.p1, Cyca_DN30629_c0_g1_i1.p1",Chfl_DN1783_c1_g1_i3.p1,Chfu_DN1837_c0_g1_i2.p1
OG0002949,Shad_tr40590_c0_g1_i1.p1,Sgig_tr23284_c0_g1_i5.p1,Hmag_tr1264_c0_g1_i2.p1,Hcri_tr4572_c1_g1_i2.p1,Smer_tr22261_c1_g2_i3.p1,Haur_tr1282_c0_g1_i1.p1,Equa_tr31216_c0_g1_i17.p1,Hetdac_DN9128_c0_g1_i1.p1,Macdac_DN16577_c0_g1_i1.p1,Oula_DN4675_c0_g1_i6.p1,Acte_DN7550_c1_g1_i1.p1,Gafa_DN3944_c0_g1_i2.p1,Ando_DN7247_c0_g2_i1.p1,Neva_DN87200_c0_g1_i1.p1,"Neno_DN6334_c0_g1_i4.p1, Neno_DN8655_c0_g1_i2.p1",Hyva_DN5104_c0_g1_i1.p1,"Sama_DN7607_c0_g2_i1.p1, Sama_DN1709_c0_g1_i1.p1","Cyca_DN15986_c0_g1_i1.p1, Cyca_DN6970_c0_g1_i1.p1, Cyca_DN6970_c0_g2_i1.p1",Chfl_DN1532_c0_g1_i1.p1,"Chfu_DN17828_c0_g1_i1.p1, Chfu_DN5086_c0_g1_i1.p1"
OG0002973,Shad_tr59184_c3_g1_i1.p1,Sgig_tr175_c0_g1_i1.p1,Hmag_tr238_c2_g1_i1.p1,Hcri_tr259_c5_g1_i1.p1,Smer_tr2062_c4_g1_i1.p1,Haur_tr143_c0_g1_i1.p1,Equa_tr31376_c1_g1_i3.p1,Hetdac_DN9420_c0_g1_i1.p1,Macdac_DN1071_c2_g3_i1.p1,Oula_DN764_c0_g1_i2.p1,Acte_DN7945_c1_g1_i2.p1,"Gafa_DN31389_c0_g1_i1.p1, Gafa_DN8333_c0_g1_i2.p1",Ando_DN79_c0_g1_i1.p1,Neva_DN16426_c1_g2_i1.p1,Neno_DN3005_c0_g1_i1.p1,"Hyva_DN7335_c0_g1_i1.p1, Hyva_DN237_c0_g1_i3.p1",Sama_DN1930_c0_g1_i1.p1,Cyca_DN419_c0_g2_i1.p1,Chfl_DN396_c0_g1_i1.p1,Chfu_DN23_c0_g1_i1.p1
OG0002974,Shad_tr3845_c0_g2_i12.p1,Sgig_tr328_c1_g1_i2.p1,Hmag_tr17884_c0_g1_i3.p1,Hcri_tr6479_c0_g1_i2.p1,Smer_tr33130_c0_g1_i2.p1,Haur_tr4734_c1_g1_i5.p1,Equa_tr45921_c0_g1_i1.p1,Hetdac_DN5967_c0_g1_i1.p1,Macdac_DN28210_c0_g2_i1.p1,Oula_DN5110_c1_g1_i9.p1,Acte_DN4238_c2_g1_i1.p1,Gafa_DN5464_c0_g2_i2.p1,Ando_DN1877_c0_g1_i1.p1,Neva_DN3958_c0_g1_i2.p1,Neno_DN7917_c0_g1_i7.p1,"Hyva_DN913_c0_g3_i4.p1, Hyva_DN33643_c0_g1_i1.p1",Sama_DN6776_c0_g1_i1.p1,"Cyca_DN9865_c0_g2_i1.p1, Cyca_DN11865_c0_g2_i1.p1, Cyca_DN23181_c0_g1_i1.p1",Chfl_DN3094_c0_g1_i2.p1,Chfu_DN15819_c0_g1_i2.p1
OG0002975,Shad_tr10212_c0_g1_i3.p1,Sgig_tr8403_c2_g2_i1.p1,Hmag_tr4112_c1_g1_i1.p1,Hcri_tr27281_c1_g1_i3.p1,Smer_tr22600_c0_g1_i1.p1,Haur_tr3070_c0_g1_i2.p1,Equa_tr18177_c0_g1_i2.p1,Hetdac_DN77741_c0_g1_i1.p1,Macdac_DN13688_c0_g1_i1.p1,Oula_DN6236_c0_g1_i3.p1,Acte_DN37947_c0_g1_i1.p1,Gafa_DN4989_c0_g1_i2.p1,Ando_DN10057_c0_g1_i1.p1,Neva_DN6578_c0_g1_i2.p1,Neno_DN7080_c0_g1_i4.p1,"Hyva_DN14065_c0_g1_i1.p1, Hyva_DN12485_c0_g1_i1.p1, Hyva_DN14065_c1_g1_i1.p1",Sama_DN2515_c0_g1_i4.p1,"Cyca_DN5127_c0_g2_i2.p1, Cyca_DN27848_c0_g1_i1.p1",Chfl_DN20756_c0_g1_i2.p1,"Chfu_DN15948_c0_g1_i1.p1, Chfu_DN11388_c0_g1_i1.p1, Chfu_DN17669_c0_g1_i1.p1"
OG0002985,Shad_tr925_c0_g1_i5.p1,Sgig_tr616_c2_g1_i1.p1,Hmag_tr2749_c3_g1_i1.p1,Hcri_tr2946_c0_g1_i2.p1,Smer_tr551_c0_g2_i1.p1,Haur_tr285_c1_g2_i2.p1,Equa_tr130_c6_g1_i3.p1,Hetdac_DN678_c0_g2_i1.p1,Macdac_DN4167_c0_g1_i6.p1,Oula_DN2539_c0_g4_i1.p1,Acte_DN1312_c1_g1_i1.p1,Gafa_DN5670_c1_g1_i14.p1,Ando_DN7628_c0_g1_i3.p1,Neva_DN2177_c0_g1_i10.p1,"Neno_DN877_c0_g1_i6.p1, Neno_DN17442_c0_g1_i2.p1","Hyva_DN34083_c0_g1_i1.p1, Hyva_DN3449_c0_g1_i2.p1, Hyva_DN746_c0_g1_i1.p1","Sama_DN167_c0_g1_i1.p1, Sama_DN593_c0_g1_i1.p1","Cyca_DN11968_c0_g1_i1.p1, Cyca_DN4899_c0_g2_i1.p1",Chfl_DN11774_c0_g1_i2.p1,"Chfu_DN1030_c0_g1_i3.p1, Chfu_DN511_c0_g1_i1.p1"
OG0002987,Shad_tr8371_c0_g1_i11.p1,Sgig_tr16238_c0_g1_i2.p1,Hmag_tr789_c0_g1_i11.p1,Hcri_tr2109_c1_g1_i7.p1,Smer_tr1310_c4_g1_i1.p1,Haur_tr26_c0_g1_i1.p1,Equa_tr2836_c1_g1_i5.p1,Hetdac_DN5133_c0_g1_i2.p1,Macdac_DN16958_c0_g2_i4.p1,Oula_DN6180_c0_g1_i1.p1,Acte_DN1398_c0_g3_i2.p1,Gafa_DN362_c0_g3_i1.p1,Ando_DN243_c1_g1_i8.p1,Neva_DN2170_c0_g1_i4.p1,"Neno_DN770_c0_g1_i2.p1, Neno_DN18721_c0_g1_i1.p1","Hyva_DN4485_c0_g1_i3.p1, Hyva_DN5320_c0_g2_i6.p1","Sama_DN2983_c0_g1_i2.p1, Sama_DN1562_c0_g1_i1.p1","Cyca_DN30007_c0_g1_i1.p1, Cyca_DN5401_c0_g1_i1.p1","Chfl_DN17251_c0_g2_i1.p1, Chfl_DN16850_c0_g1_i1.p1","Chfu_DN5896_c0_g1_i1.p1, Chfu_DN2598_c0_g2_i1.p1"
OG0002989,Shad_tr9020_c0_g1_i1.p1,Sgig_tr447_c0_g1_i6.p1,Hmag_tr1949_c0_g1_i4.p1,Hcri_tr5668_c2_g1_i1.p1,Smer_tr2191_c0_g1_i7.p1,Haur_tr36078_c0_g1_i1.p1,Equa_tr253_c5_g1_i2.p1,Hetdac_DN69928_c0_g1_i1.p1,Macdac_DN252_c0_g3_i8.p1,Oula_DN7209_c0_g1_i4.p1,Acte_DN4878_c0_g1_i1.p1,Gafa_DN2839_c0_g1_i1.p1,Ando_DN808_c0_g1_i2.p1,Neva_DN353_c0_g1_i11.p1,Neno_DN2637_c0_g1_i1.p1,Hyva_DN2112_c0_g1_i1.p1,Sama_DN3047_c0_g1_i3.p1,Cyca_DN11165_c0_g1_i1.p1,Chfl_DN23024_c0_g2_i1.p1,Chfu_DN3956_c0_g3_i1.p1
OG0003005,Shad_tr7659_c1_g1_i2.p1,Sgig_tr1836_c2_g1_i2.p1,Hmag_tr4180_c0_g1_i2.p1,Hcri_tr7598_c0_g1_i6.p1,Smer_tr15399_c1_g1_i3.p1,Haur_tr2331_c0_g1_i2.p1,Equa_tr8401_c0_g2_i8.p1,Hetdac_DN3043_c0_g1_i2.p1,Macdac_DN1593_c2_g1_i1.p1,Oula_DN10314_c0_g1_i1.p1,Acte_DN6690_c0_g1_i2.p1,Gafa_DN10334_c0_g1_i13.p1,Ando_DN2590_c0_g1_i2.p1,Neva_DN16536_c1_g1_i12.p1,Neno_DN2526_c0_g1_i4.p1,Hyva_DN3597_c0_g1_i2.p1,Sama_DN4827_c0_g1_i2.p1,"Cyca_DN14580_c0_g1_i4.p1, Cyca_DN900_c0_g1_i1.p1, Cyca_DN900_c1_g1_i1.p1","Chfl_DN7094_c0_g2_i1.p1, Chfl_DN19080_c0_g1_i1.p1","Chfu_DN6152_c0_g1_i1.p1, Chfu_DN9891_c0_g1_i1.p1"
OG0003011,Shad_tr4523_c0_g1_i7.p1,Sgig_tr5374_c0_g2_i3.p1,Hmag_tr1861_c0_g1_i2.p1,Hcri_tr37742_c0_g3_i1.p1,Smer_tr14580_c0_g1_i1.p1,Haur_tr2322_c0_g1_i1.p1,Equa_tr73_c2_g1_i2.p1,Hetdac_DN3030_c0_g1_i1.p1,Macdac_DN981_c0_g2_i2.p1,Oula_DN3119_c0_g1_i1.p1,Acte_DN5833_c0_g2_i2.p1,Gafa_DN17699_c0_g1_i2.p1,Ando_DN2446_c0_g1_i2.p1,Neva_DN7509_c3_g1_i3.p1,Neno_DN1914_c0_g1_i6.p1,Hyva_DN1402_c0_g1_i5.p1,Sama_DN3863_c0_g1_i1.p1,"Cyca_DN8260_c0_g3_i2.p1, Cyca_DN9259_c0_g1_i1.p1",Chfl_DN5318_c0_g1_i5.p1,Chfu_DN5856_c0_g1_i2.p1
OG0003012,Shad_tr21467_c0_g3_i1.p1,Sgig_tr93109_c0_g1_i1.p1,Hmag_tr88719_c0_g1_i1.p1,Hcri_tr37274_c0_g2_i1.p1,Smer_tr47043_c0_g1_i1.p1,Haur_tr60360_c0_g1_i1.p1,Equa_tr71191_c0_g1_i1.p1,Hetdac_DN19394_c0_g1_i1.p1,Macdac_DN20356_c0_g1_i2.p1,Oula_DN13035_c0_g1_i1.p1,Acte_DN37259_c0_g1_i1.p1,Gafa_DN15334_c0_g1_i7.p1,Ando_DN16952_c0_g1_i1.p1,Neva_DN262_c6_g1_i1.p1,Neno_DN6764_c0_g1_i2.p1,Hyva_DN6452_c0_g1_i1.p1,"Sama_DN8073_c0_g1_i2.p1, Sama_DN7056_c0_g1_i1.p1","Cyca_DN27705_c0_g1_i1.p1, Cyca_DN5810_c0_g2_i1.p1","Chfl_DN1065_c2_g1_i2.p1, Chfl_DN19512_c0_g1_i1.p1","Chfu_DN19814_c0_g1_i1.p1, Chfu_DN16715_c0_g1_i1.p1"
OG0003023,Shad_tr51852_c0_g3_i2.p1,Sgig_tr794_c0_g1_i1.p1,Hmag_tr11668_c1_g1_i1.p1,Hcri_tr605_c0_g1_i1.p1,Smer_tr774_c0_g1_i1.p1,Haur_tr1666_c0_g1_i1.p1,Equa_tr86_c0_g1_i6.p1,Hetdac_DN20975_c0_g1_i1.p1,Macdac_DN1232_c9_g1_i1.p1,Oula_DN636_c0_g1_i12.p1,Acte_DN14550_c0_g1_i2.p1,"Gafa_DN44036_c0_g1_i2.p1, Gafa_DN3897_c0_g3_i1.p1, Gafa_DN3897_c0_g1_i1.p1, Gafa_DN124590_c0_g1_i1.p1, Gafa_DN61625_c0_g2_i1.p1, Gafa_DN91074_c0_g1_i1.p1",Ando_DN531_c0_g1_i1.p1,Neva_DN3108_c8_g1_i2.p1,Neno_DN88_c0_g1_i7.p1,Hyva_DN4478_c0_g1_i1.p1,Sama_DN11341_c0_g1_i1.p1,Cyca_DN2766_c0_g1_i2.p1,Chfl_DN26906_c0_g1_i1.p1,Chfu_DN1608_c0_g1_i1.p1
OG0003032,Shad_tr1909_c0_g1_i2.p1,Sgig_tr4314_c0_g1_i5.p1,Hmag_tr5047_c0_g3_i1.p1,"Hcri_tr4126_c0_g1_i2.p1, Hcri_tr41146_c0_g1_i1.p1",Smer_tr6892_c1_g1_i5.p1,"Haur_tr19671_c0_g1_i5.p1, Haur_tr5896_c1_g1_i1.p1, Haur_tr40885_c0_g1_i1.p1, Haur_tr40885_c1_g1_i1.p1",Equa_tr8899_c1_g1_i2.p1,Hetdac_DN6765_c0_g1_i12.p1,Macdac_DN25423_c0_g2_i1.p1,Oula_DN9519_c1_g1_i3.p1,Acte_DN2170_c2_g1_i1.p1,"Gafa_DN59094_c0_g2_i5.p1, Gafa_DN3207_c0_g2_i1.p1",Ando_DN1122_c0_g1_i1.p1,Neva_DN5347_c0_g2_i5.p1,Neno_DN22249_c0_g1_i2.p1,Hyva_DN4271_c0_g1_i2.p1,Sama_DN4430_c0_g1_i1.p1,Cyca_DN14577_c0_g1_i1.p1,Chfl_DN24219_c0_g1_i1.p1,"Chfu_DN18440_c0_g1_i1.p1, Chfu_DN3286_c0_g1_i1.p1"
OG0003033,Shad_tr6722_c0_g2_i2.p1,Sgig_tr9167_c1_g1_i1.p1,Hmag_tr7225_c3_g1_i2.p1,Hcri_tr41530_c0_g1_i1.p1,Smer_tr2886_c0_g1_i1.p1,Haur_tr27296_c1_g1_i1.p1,Equa_tr23761_c0_g2_i1.p1,Hetdac_DN25085_c0_g1_i1.p1,Macdac_DN3619_c0_g1_i5.p1,Oula_DN5_c0_g1_i2.p1,Acte_DN2413_c0_g1_i1.p1,"Gafa_DN94991_c0_g1_i1.p1, Gafa_DN36430_c0_g1_i1.p1",Ando_DN3481_c0_g1_i1.p1,Neva_DN29391_c3_g1_i3.p1,Neno_DN2975_c0_g1_i1.p1,Hyva_DN2796_c0_g1_i2.p1,Sama_DN987_c0_g1_i1.p1,"Cyca_DN5062_c0_g1_i2.p1, Cyca_DN22139_c0_g1_i2.p1",Chfl_DN5257_c0_g1_i1.p1,Chfu_DN2416_c0_g1_i1.p1
OG0003035,Shad_tr19790_c0_g1_i7.p1,Sgig_tr13140_c0_g1_i1.p1,Hmag_tr740_c0_g1_i10.p1,Hcri_tr6793_c0_g1_i1.p1,Smer_tr19905_c0_g2_i3.p1,Haur_tr12842_c0_g1_i3.p1,Equa_tr16114_c0_g1_i11.p1,Hetdac_DN13388_c0_g1_i1.p1,Macdac_DN17457_c0_g3_i1.p1,Oula_DN951_c0_g1_i3.p1,Acte_DN7486_c0_g1_i6.p1,Gafa_DN6077_c0_g1_i8.p1,Ando_DN2641_c0_g1_i1.p1,Neva_DN21373_c0_g1_i2.p1,Neno_DN2170_c0_g1_i1.p1,Hyva_DN8306_c0_g1_i1.p1,Sama_DN3284_c0_g1_i4.p1,Cyca_DN30507_c0_g1_i1.p1,Chfl_DN1639_c0_g1_i2.p1,Chfu_DN2220_c0_g1_i1.p1
